run_id,method,budget,strategy,source_seed,support_seed,outer_fold,labelled_support_rows,query_rows,query_condition_blocks,block_accuracy,block_macro_f1,row_accuracy,row_macro_f1,mean_within_block_agreement,minimum_within_block_agreement,support_coverage_score,unique_er_levels,unique_surfaces,unique_factor_cells,interpretation_valid,prediction_sha256
run_2c28a64937810e29bb23,FS0_FROZEN_SOURCE_HEAD,0,FS0_FROZEN_SOURCE_HEAD,42,104729,0,0,1050,21,0.19047619047619047,0.1476190476190476,0.18857142857142858,0.14740542793692443,0.9790476190476189,0.88,,,,,True,1c68e9101f351d55d0a638e619a1576c790f33083589f821ccfb020c2e3bf5e1
run_e8321d9ebc75fb9f8d2b,FS0_FROZEN_SOURCE_HEAD,0,FS0_FROZEN_SOURCE_HEAD,42,130363,0,0,1050,21,0.19047619047619047,0.1476190476190476,0.18857142857142858,0.14740542793692443,0.9790476190476189,0.88,,,,,True,1c68e9101f351d55d0a638e619a1576c790f33083589f821ccfb020c2e3bf5e1
run_7077cc05476c2bf1c29a,FS0_FROZEN_SOURCE_HEAD,0,FS0_FROZEN_SOURCE_HEAD,42,155921,0,0,1050,21,0.19047619047619047,0.1476190476190476,0.18857142857142858,0.14740542793692443,0.9790476190476189,0.88,,,,,True,1c68e9101f351d55d0a638e619a1576c790f33083589f821ccfb020c2e3bf5e1
run_0dacc03b8bd62313cb8e,FS0_FROZEN_SOURCE_HEAD,0,FS0_FROZEN_SOURCE_HEAD,42,181081,0,0,1050,21,0.19047619047619047,0.1476190476190476,0.18857142857142858,0.14740542793692443,0.9790476190476189,0.88,,,,,True,1c68e9101f351d55d0a638e619a1576c790f33083589f821ccfb020c2e3bf5e1
run_d33b3f1bd8c2a2b5ac82,FS0_FROZEN_SOURCE_HEAD,0,FS0_FROZEN_SOURCE_HEAD,42,205439,0,0,1050,21,0.19047619047619047,0.1476190476190476,0.18857142857142858,0.14740542793692443,0.9790476190476189,0.88,,,,,True,1c68e9101f351d55d0a638e619a1576c790f33083589f821ccfb020c2e3bf5e1
run_e1f2016062a1e1389c2f,TARGET_ONLY_COSINE_PROTOTYPE,1,RANDOM_BLOCK,42,104729,0,7,1050,21,0.23809523809523808,0.1931972789115646,0.23714285714285716,0.19299115105462386,0.96,0.6,0.16666666666666666,1,1,1,True,161c4d5508415d02b4cf68145565ad2443b8367fd0bd08a49d41a5c1022d4820
run_146f10fd73beefc694b7,FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,1,RANDOM_BLOCK,42,104729,0,7,1050,21,0.19047619047619047,0.16541950113378684,0.19142857142857142,0.16986836036856318,0.9800000000000001,0.86,0.16666666666666666,1,1,1,True,c5b8bc2afc9a52a2e8796499f366d170e5e8c07e201c8052759c14234b879a85
run_876c3e1d90b7fd9db463,TARGET_ONLY_COSINE_PROTOTYPE,3,RANDOM_BLOCK,42,104729,0,21,1050,21,0.14285714285714285,0.11440940012368583,0.1419047619047619,0.11421361758360456,0.9847619047619047,0.92,0.6666666666666666,3,2,3,True,bcde622c7d9b0f3977ffd1a3415d613cf92bcf1d7133e9b518366d070e1cacb9
run_bc53c1680d223f565848,FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,3,RANDOM_BLOCK,42,104729,0,21,1050,21,0.23809523809523808,0.22414965986394558,0.2342857142857143,0.21835546015629217,0.9790476190476189,0.82,0.6666666666666666,3,2,3,False,009db483f0945ab6a2867bd2629bbb1009c2b8bff40ceae5850574e95051a85c
run_b41ec00371b7efe7df69,TARGET_ONLY_COSINE_PROTOTYPE,3,ER_BALANCED,42,104729,0,21,1050,21,0.047619047619047616,0.04081632653061224,0.049523809523809526,0.04085919306718889,0.9552380952380952,0.6,0.8333333333333333,3,3,3,True,43fe8752b805d7238ae7802512603b0aa5cf15b5bf6ac000b0bdb10af188e8bd
run_d05290ce03fe0e50bad3,FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,3,ER_BALANCED,42,104729,0,21,1050,21,0.23809523809523808,0.20623582766439913,0.23047619047619047,0.19890618618054853,0.984761904761905,0.92,0.8333333333333333,3,3,3,False,37feb7138a72b706d71fbe64971bd6ca52b2d5d521baee5a4b0b62b41e466e62
run_829290a2ea4fd974e6f4,TARGET_ONLY_COSINE_PROTOTYPE,3,SURFACE_BALANCED,42,104729,0,21,1050,21,0.14285714285714285,0.15476190476190474,0.1438095238095238,0.1530761975468909,0.984761904761905,0.88,0.6666666666666666,2,3,3,True,1b00d0b8a8175024a359730ee83e8bfce079c901fa37a32b00c0dcaac28ed3db
run_9cc92c4e5bc1b6adf5ac,FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,3,SURFACE_BALANCED,42,104729,0,21,1050,21,0.19047619047619047,0.1626984126984127,0.2123809523809524,0.1985150381551052,0.9600000000000002,0.56,0.6666666666666666,2,3,3,False,3b368858cdd4bdfcce657bed1b2949a88fa3aab11ee3b7edb3ea9c4da64cadf2
run_11d02bd608d36150595a,TARGET_ONLY_COSINE_PROTOTYPE,3,JOINT_FACTOR_COVERAGE,42,104729,0,21,1050,21,0.047619047619047616,0.04081632653061224,0.049523809523809526,0.04085919306718889,0.9552380952380952,0.6,0.8333333333333333,3,3,3,True,43fe8752b805d7238ae7802512603b0aa5cf15b5bf6ac000b0bdb10af188e8bd
run_8d6facc19730d8d31000,FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,3,JOINT_FACTOR_COVERAGE,42,104729,0,21,1050,21,0.23809523809523808,0.20623582766439913,0.23047619047619047,0.19890618618054853,0.984761904761905,0.92,0.8333333333333333,3,3,3,False,37feb7138a72b706d71fbe64971bd6ca52b2d5d521baee5a4b0b62b41e466e62
run_2dd1ae9fb77bf3551e8e,TARGET_ONLY_COSINE_PROTOTYPE,5,RANDOM_BLOCK,42,104729,0,35,1050,21,0.09523809523809523,0.09523809523809523,0.09619047619047619,0.09635854341736694,0.9904761904761905,0.92,0.775,3,3,5,True,e8a3f0c997bbf2996c67a0353f8bc83fa690adbb7f368de886da781ba0eb8fa9
run_7d239b43f4674a60216b,FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,5,RANDOM_BLOCK,42,104729,0,35,1050,21,0.14285714285714285,0.11224489795918367,0.14666666666666667,0.11641111864725125,0.9704761904761906,0.7,0.775,3,3,5,True,2f2e3fcc807659fa051d4825cf8702c3f1f7a0ccbd795b9edf077412e97f9cc4
run_c5e1378984d0b3424649,TARGET_ONLY_COSINE_PROTOTYPE,5,JOINT_FACTOR_COVERAGE,42,104729,0,35,1050,21,0.14285714285714285,0.11020408163265305,0.14285714285714285,0.10822510822510822,0.9609523809523809,0.5,0.775,3,3,5,True,64f0aa0252a892c2d32e49046beada1150d573c512db5ead8dc4f078ddc27070
run_bbbb19a5bbf18951a3a5,FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,5,JOINT_FACTOR_COVERAGE,42,104729,0,35,1050,21,0.14285714285714285,0.12698412698412698,0.14,0.12361521185050596,0.983809523809524,0.88,0.775,3,3,5,True,1be18bc3276a7e7a0514a78e7f3303b5dbc457b4bfb1d29ae47cf8eb48266a34
run_21d31ce00c95f8e9c1dc,TARGET_ONLY_COSINE_PROTOTYPE,1,RANDOM_BLOCK,42,130363,0,7,1050,21,0.09523809523809523,0.05772005772005772,0.10571428571428572,0.07382429010642023,0.9714285714285715,0.86,0.16666666666666666,1,1,1,True,bb820ecfb575683de459e801c0e6e8ef28f58af56e8b60be42c1a344b956e939
run_1dfeefbd18f39667b703,FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,1,RANDOM_BLOCK,42,130363,0,7,1050,21,0.2857142857142857,0.2507936507936508,0.29428571428571426,0.25477637932272196,0.9580952380952381,0.58,0.16666666666666666,1,1,1,False,3b0c1d8d296823fe40d91ce61c14dadf49cc218e46b6a4a663d7ab845c447db5
run_6e97d89d6cdabae5a910,TARGET_ONLY_COSINE_PROTOTYPE,3,RANDOM_BLOCK,42,130363,0,21,1050,21,0.047619047619047616,0.047619047619047616,0.049523809523809526,0.048923761423761425,0.9657142857142857,0.52,0.5,2,2,3,True,2f46d75514f0633dfc420046eaff646cd39704bef5fc194681d586a53690c39b
run_86d4a5601c4385a3cdd3,FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,3,RANDOM_BLOCK,42,130363,0,21,1050,21,0.23809523809523808,0.218140589569161,0.2523809523809524,0.2479066932879304,0.9647619047619048,0.6,0.5,2,2,3,False,a9081d73a827ef2f18a6767273f7b6ad0b4957cb4f9775f80313506350a14570
run_647a5611acb73a747cfd,TARGET_ONLY_COSINE_PROTOTYPE,3,ER_BALANCED,42,130363,0,21,1050,21,0.047619047619047616,0.047619047619047616,0.04380952380952381,0.04466933178015461,0.9714285714285713,0.86,0.8333333333333333,3,3,3,True,08f20994d3d23d82f399abd76e95a57f06fb10ead0e0135289f28c6c914bbe67
