contrast_id,category,metric,baseline_method,baseline_budget,baseline_strategy,comparison_method,comparison_budget,comparison_strategy,paired_seed_units,valid_paired_seed_units,mean_effect,ci_95_lower,ci_95_upper,bootstrap_replicates,leave_one_source_means_all_positive,leave_one_support_means_all_positive,leave_one_source_means,leave_one_support_means,interpretation_valid
TARGET_ONLY_COSINE_PROTOTYPE|1|RANDOM_BLOCK_MINUS_FS0|macro_f1,ADAPTED_VERSUS_MATCHED_FS0,block_macro_f1,FS0_FROZEN_SOURCE_HEAD,0,FS0_FROZEN_SOURCE_HEAD,TARGET_ONLY_COSINE_PROTOTYPE,1,RANDOM_BLOCK,25,25,0.012181292287307076,-0.04032275133238992,0.05987900846240247,10000,True,True,0.0118223405;0.0104691595;0.0047117923;0.0265170060;0.0073861631,0.0094835478;0.0109799025;0.0119134810;0.0179749388;0.0105545914,True
TARGET_ONLY_COSINE_PROTOTYPE|1|RANDOM_BLOCK_MINUS_FS0|accuracy,ADAPTED_VERSUS_MATCHED_FS0,block_accuracy,FS0_FROZEN_SOURCE_HEAD,0,FS0_FROZEN_SOURCE_HEAD,TARGET_ONLY_COSINE_PROTOTYPE,1,RANDOM_BLOCK,25,25,-0.01968253968253968,-0.07428571428571429,0.03239682539682516,10000,False,False,-0.0198412698;-0.0285714286;-0.0301587302;-0.0015873016;-0.0182539683,-0.0269841270;-0.0206349206;-0.0206349206;-0.0111111111;-0.0190476190,True
TARGET_ONLY_COSINE_PROTOTYPE|3|ER_BALANCED_MINUS_RANDOM|macro_f1,MATCHED_BUDGET_FACTOR_STRATEGY,block_macro_f1,TARGET_ONLY_COSINE_PROTOTYPE,3,RANDOM_BLOCK,TARGET_ONLY_COSINE_PROTOTYPE,3,ER_BALANCED,25,25,0.007495636270222355,-0.019364521797245803,0.03436529607015022,10000,False,False,0.0163746019;0.0092667980;0.0057176880;-0.0042393661;0.0103584595,0.0070126417;0.0059898613;-0.0035587283;0.0203799228;0.0076544839,True
TARGET_ONLY_COSINE_PROTOTYPE|3|ER_BALANCED_MINUS_RANDOM|accuracy,MATCHED_BUDGET_FACTOR_STRATEGY,block_accuracy,TARGET_ONLY_COSINE_PROTOTYPE,3,RANDOM_BLOCK,TARGET_ONLY_COSINE_PROTOTYPE,3,ER_BALANCED,25,25,0.005714285714285714,-0.022857142857142857,0.03492063492063492,10000,False,False,0.0142857143;0.0063492063;0.0055555556;-0.0047619048;0.0071428571,0.0087301587;0.0015873016;-0.0079365079;0.0174603175;0.0087301587,True
TARGET_ONLY_COSINE_PROTOTYPE|3|SURFACE_BALANCED_MINUS_RANDOM|macro_f1,MATCHED_BUDGET_FACTOR_STRATEGY,block_macro_f1,TARGET_ONLY_COSINE_PROTOTYPE,3,RANDOM_BLOCK,TARGET_ONLY_COSINE_PROTOTYPE,3,SURFACE_BALANCED,25,25,-0.0019808863181678504,-0.025910974345931936,0.022020578921758953,10000,False,False,0.0043246528;-0.0054285629;-0.0069740095;-0.0041225026;0.0022959906,0.0063944865;-0.0085995026;-0.0069376275;0.0092964370;-0.0100582250,True
TARGET_ONLY_COSINE_PROTOTYPE|3|SURFACE_BALANCED_MINUS_RANDOM|accuracy,MATCHED_BUDGET_FACTOR_STRATEGY,block_accuracy,TARGET_ONLY_COSINE_PROTOTYPE,3,RANDOM_BLOCK,TARGET_ONLY_COSINE_PROTOTYPE,3,SURFACE_BALANCED,25,25,-0.006349206349206349,-0.03174603174603174,0.018412698412698412,10000,False,False,-0.0007936508;-0.0111111111;-0.0095238095;-0.0079365079;-0.0023809524,0.0047619048;-0.0166666667;-0.0134920635;0.0063492063;-0.0126984127,True
TARGET_ONLY_COSINE_PROTOTYPE|3|JOINT_FACTOR_COVERAGE_MINUS_RANDOM|accuracy,MATCHED_BUDGET_FACTOR_STRATEGY,block_accuracy,TARGET_ONLY_COSINE_PROTOTYPE,3,RANDOM_BLOCK,TARGET_ONLY_COSINE_PROTOTYPE,3,JOINT_FACTOR_COVERAGE,25,25,-0.005714285714285714,-0.041904761904761896,0.030476190476190476,10000,False,False,-0.0023809524;-0.0055555556;-0.0079365079;-0.0150793651;0.0023809524,0.0015873016;-0.0111111111;-0.0103174603;0.0031746032;-0.0119047619,True
TARGET_ONLY_COSINE_PROTOTYPE|3|RANDOM_BLOCK_MINUS_FS0|macro_f1,ADAPTED_VERSUS_MATCHED_FS0,block_macro_f1,FS0_FROZEN_SOURCE_HEAD,0,FS0_FROZEN_SOURCE_HEAD,TARGET_ONLY_COSINE_PROTOTYPE,3,RANDOM_BLOCK,25,25,0.015372741602827396,-0.04404167215390892,0.07023368761127882,10000,True,True,0.0188778293;0.0151662024;0.0080950471;0.0262012071;0.0085234221,0.0087648585;0.0199400117;0.0233240358;0.0044027681;0.0204320340,True
TARGET_ONLY_COSINE_PROTOTYPE|3|RANDOM_BLOCK_MINUS_FS0|accuracy,ADAPTED_VERSUS_MATCHED_FS0,block_accuracy,FS0_FROZEN_SOURCE_HEAD,0,FS0_FROZEN_SOURCE_HEAD,TARGET_ONLY_COSINE_PROTOTYPE,3,RANDOM_BLOCK,25,25,-0.019047619047619046,-0.07936507936507936,0.03936507936507936,10000,False,False,-0.0142857143;-0.0253968254;-0.0301587302;-0.0039682540;-0.0214285714,-0.0269841270;-0.0126984127;-0.0103174603;-0.0293650794;-0.0158730159,True
TARGET_ONLY_COSINE_PROTOTYPE|3|ER_BALANCED_MINUS_FS0|macro_f1,ADAPTED_VERSUS_MATCHED_FS0,block_macro_f1,FS0_FROZEN_SOURCE_HEAD,0,FS0_FROZEN_SOURCE_HEAD,TARGET_ONLY_COSINE_PROTOTYPE,3,ER_BALANCED,25,25,0.022868377873049753,-0.03546269563273776,0.07707310297796156,10000,True,True,0.0352524312;0.0244330004;0.0138127351;0.0219618410;0.0188818817,0.0157775001;0.0259298730;0.0197653075;0.0247826909;0.0280865179,True
