analysis_class,method,budget,source_seed,support_seed,outer_fold,support_coverage_score,unique_er_levels,unique_surfaces,block_accuracy,block_macro_f1
ASSOCIATIONAL_EXPLORATORY,TARGET_ONLY_COSINE_PROTOTYPE,1,42,104729,0,0.16666666666666666,1,1,0.23809523809523808,0.1931972789115646
ASSOCIATIONAL_EXPLORATORY,FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,1,42,104729,0,0.16666666666666666,1,1,0.19047619047619047,0.16541950113378684
ASSOCIATIONAL_EXPLORATORY,TARGET_ONLY_COSINE_PROTOTYPE,3,42,104729,0,0.6666666666666666,3,2,0.14285714285714285,0.11440940012368583
ASSOCIATIONAL_EXPLORATORY,FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,3,42,104729,0,0.6666666666666666,3,2,0.23809523809523808,0.22414965986394558
ASSOCIATIONAL_EXPLORATORY,TARGET_ONLY_COSINE_PROTOTYPE,5,42,104729,0,0.775,3,3,0.09523809523809523,0.09523809523809523
ASSOCIATIONAL_EXPLORATORY,FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,5,42,104729,0,0.775,3,3,0.14285714285714285,0.11224489795918367
ASSOCIATIONAL_EXPLORATORY,TARGET_ONLY_COSINE_PROTOTYPE,1,42,130363,0,0.16666666666666666,1,1,0.09523809523809523,0.05772005772005772
ASSOCIATIONAL_EXPLORATORY,FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,1,42,130363,0,0.16666666666666666,1,1,0.2857142857142857,0.2507936507936508
ASSOCIATIONAL_EXPLORATORY,TARGET_ONLY_COSINE_PROTOTYPE,3,42,130363,0,0.5,2,2,0.047619047619047616,0.047619047619047616
ASSOCIATIONAL_EXPLORATORY,FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,3,42,130363,0,0.5,2,2,0.23809523809523808,0.218140589569161
ASSOCIATIONAL_EXPLORATORY,TARGET_ONLY_COSINE_PROTOTYPE,5,42,130363,0,0.775,3,3,0.09523809523809523,0.09523809523809523
ASSOCIATIONAL_EXPLORATORY,FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,5,42,130363,0,0.775,3,3,0.19047619047619047,0.18571428571428572
ASSOCIATIONAL_EXPLORATORY,TARGET_ONLY_COSINE_PROTOTYPE,1,42,155921,0,0.16666666666666666,1,1,0.23809523809523808,0.1812925170068027
ASSOCIATIONAL_EXPLORATORY,FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,1,42,155921,0,0.16666666666666666,1,1,0.19047619047619047,0.16541950113378684
ASSOCIATIONAL_EXPLORATORY,TARGET_ONLY_COSINE_PROTOTYPE,3,42,155921,0,0.75,3,2,0.14285714285714285,0.13095238095238096
ASSOCIATIONAL_EXPLORATORY,FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,3,42,155921,0,0.75,3,2,0.23809523809523808,0.21587301587301586
ASSOCIATIONAL_EXPLORATORY,TARGET_ONLY_COSINE_PROTOTYPE,5,42,155921,0,0.75,3,3,0.23809523809523808,0.15512265512265513
ASSOCIATIONAL_EXPLORATORY,FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,5,42,155921,0,0.75,3,3,0.19047619047619047,0.1388888888888889
ASSOCIATIONAL_EXPLORATORY,TARGET_ONLY_COSINE_PROTOTYPE,1,42,181081,0,0.16666666666666666,1,1,0.09523809523809523,0.047619047619047616
ASSOCIATIONAL_EXPLORATORY,FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,1,42,181081,0,0.16666666666666666,1,1,0.19047619047619047,0.16258503401360544
ASSOCIATIONAL_EXPLORATORY,TARGET_ONLY_COSINE_PROTOTYPE,3,42,181081,0,0.6666666666666666,3,2,0.09523809523809523,0.07359307359307359
ASSOCIATIONAL_EXPLORATORY,FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,3,42,181081,0,0.6666666666666666,3,2,0.23809523809523808,0.20793650793650795
ASSOCIATIONAL_EXPLORATORY,TARGET_ONLY_COSINE_PROTOTYPE,5,42,181081,0,0.775,3,3,0.09523809523809523,0.09523809523809523
ASSOCIATIONAL_EXPLORATORY,FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,5,42,181081,0,0.775,3,3,0.09523809523809523,0.08163265306122448
