contrast_id,metric,resampling_scheme,replicates,mean_effect,ci_95_lower,ci_95_upper
PRIMARY_3SHOT_PROTOTYPE_JOINT_MINUS_RANDOM,block_macro_f1,TAGID_STRATIFIED_BLOCK,10000,-0.004992258178289945,-0.03920001785830564,0.029009934953014196
PRIMARY_3SHOT_PROTOTYPE_JOINT_MINUS_RANDOM,block_macro_f1,BLOCK_PLUS_SOURCE_SEED,10000,-0.004992258178289945,-0.04663778872456001,0.0402406293245092
PRIMARY_3SHOT_PROTOTYPE_JOINT_MINUS_RANDOM,block_macro_f1,BLOCK_PLUS_SUPPORT_SEED,10000,-0.004992258178289945,-0.053761696953383245,0.04435826749312891
PRIMARY_3SHOT_PROTOTYPE_JOINT_MINUS_RANDOM,block_macro_f1,BLOCK_PLUS_BOTH_SEEDS,10000,-0.004992258178289945,-0.060935888289954464,0.05694498227411281
PRIMARY_3SHOT_PROTOTYPE_JOINT_MINUS_RANDOM,block_accuracy,TAGID_STRATIFIED_BLOCK,10000,-0.005714285714285714,-0.041904761904761896,0.030476190476190476
PRIMARY_3SHOT_PROTOTYPE_JOINT_MINUS_RANDOM,block_macro_f1,FOLD_LEVEL_AGGREGATE_SENSITIVITY,10000,-0.004992258178289945,-0.022668728097299525,-0.00456730571016286
TARGET_ONLY_COSINE_PROTOTYPE|1|RANDOM_BLOCK_MINUS_FS0|macro_f1,block_macro_f1,TAGID_STRATIFIED_BLOCK,10000,0.012181292287307076,-0.04032275133238992,0.05987900846240247
TARGET_ONLY_COSINE_PROTOTYPE|1|RANDOM_BLOCK_MINUS_FS0|accuracy,block_accuracy,TAGID_STRATIFIED_BLOCK,10000,-0.01968253968253968,-0.07428571428571429,0.03239682539682516
TARGET_ONLY_COSINE_PROTOTYPE|3|ER_BALANCED_MINUS_RANDOM|macro_f1,block_macro_f1,TAGID_STRATIFIED_BLOCK,10000,0.007495636270222355,-0.019364521797245803,0.03436529607015022
TARGET_ONLY_COSINE_PROTOTYPE|3|ER_BALANCED_MINUS_RANDOM|accuracy,block_accuracy,TAGID_STRATIFIED_BLOCK,10000,0.005714285714285714,-0.022857142857142857,0.03492063492063492
TARGET_ONLY_COSINE_PROTOTYPE|3|SURFACE_BALANCED_MINUS_RANDOM|macro_f1,block_macro_f1,TAGID_STRATIFIED_BLOCK,10000,-0.0019808863181678504,-0.025910974345931936,0.022020578921758953
TARGET_ONLY_COSINE_PROTOTYPE|3|SURFACE_BALANCED_MINUS_RANDOM|accuracy,block_accuracy,TAGID_STRATIFIED_BLOCK,10000,-0.006349206349206349,-0.03174603174603174,0.018412698412698412
TARGET_ONLY_COSINE_PROTOTYPE|3|JOINT_FACTOR_COVERAGE_MINUS_RANDOM|accuracy,block_accuracy,TAGID_STRATIFIED_BLOCK,10000,-0.005714285714285714,-0.041904761904761896,0.030476190476190476
TARGET_ONLY_COSINE_PROTOTYPE|3|RANDOM_BLOCK_MINUS_FS0|macro_f1,block_macro_f1,TAGID_STRATIFIED_BLOCK,10000,0.015372741602827396,-0.04404167215390892,0.07023368761127882
TARGET_ONLY_COSINE_PROTOTYPE|3|RANDOM_BLOCK_MINUS_FS0|accuracy,block_accuracy,TAGID_STRATIFIED_BLOCK,10000,-0.019047619047619046,-0.07936507936507936,0.03936507936507936
TARGET_ONLY_COSINE_PROTOTYPE|3|ER_BALANCED_MINUS_FS0|macro_f1,block_macro_f1,TAGID_STRATIFIED_BLOCK,10000,0.022868377873049753,-0.03546269563273776,0.07707310297796156
TARGET_ONLY_COSINE_PROTOTYPE|3|ER_BALANCED_MINUS_FS0|accuracy,block_accuracy,TAGID_STRATIFIED_BLOCK,10000,-0.013333333333333332,-0.073015873015873,0.04319047619047596
TARGET_ONLY_COSINE_PROTOTYPE|3|SURFACE_BALANCED_MINUS_FS0|macro_f1,block_macro_f1,TAGID_STRATIFIED_BLOCK,10000,0.013391855284659547,-0.04675890255787681,0.07073985699133314
TARGET_ONLY_COSINE_PROTOTYPE|3|SURFACE_BALANCED_MINUS_FS0|accuracy,block_accuracy,TAGID_STRATIFIED_BLOCK,10000,-0.025396825396825397,-0.08698412698412698,0.03428571428571428
TARGET_ONLY_COSINE_PROTOTYPE|3|JOINT_FACTOR_COVERAGE_MINUS_FS0|macro_f1,block_macro_f1,TAGID_STRATIFIED_BLOCK,10000,0.010380483424537451,-0.04682065821687934,0.06358184024836377
TARGET_ONLY_COSINE_PROTOTYPE|3|JOINT_FACTOR_COVERAGE_MINUS_FS0|accuracy,block_accuracy,TAGID_STRATIFIED_BLOCK,10000,-0.02476190476190476,-0.08319047619047618,0.031111111111111107
TARGET_ONLY_COSINE_PROTOTYPE|5|JOINT_FACTOR_COVERAGE_MINUS_RANDOM|macro_f1,block_macro_f1,TAGID_STRATIFIED_BLOCK,10000,0.004295306943858477,-0.01380725805265309,0.02306157713458982
TARGET_ONLY_COSINE_PROTOTYPE|5|JOINT_FACTOR_COVERAGE_MINUS_RANDOM|accuracy,block_accuracy,TAGID_STRATIFIED_BLOCK,10000,0.005079365079365079,-0.014603174603174602,0.026031746031746027
TARGET_ONLY_COSINE_PROTOTYPE|5|RANDOM_BLOCK_MINUS_FS0|macro_f1,block_macro_f1,TAGID_STRATIFIED_BLOCK,10000,0.0033113463661100313,-0.0552247842152585,0.05887205530704837
TARGET_ONLY_COSINE_PROTOTYPE|5|RANDOM_BLOCK_MINUS_FS0|accuracy,block_accuracy,TAGID_STRATIFIED_BLOCK,10000,-0.0292063492063492,-0.08952380952380952,0.030476190476190476
TARGET_ONLY_COSINE_PROTOTYPE|5|JOINT_FACTOR_COVERAGE_MINUS_FS0|macro_f1,block_macro_f1,TAGID_STRATIFIED_BLOCK,10000,0.00760665330996851,-0.05404966686129259,0.06844243487920323
TARGET_ONLY_COSINE_PROTOTYPE|5|JOINT_FACTOR_COVERAGE_MINUS_FS0|accuracy,block_accuracy,TAGID_STRATIFIED_BLOCK,10000,-0.02412698412698413,-0.08888888888888888,0.03873015873015873
FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION|1|RANDOM_BLOCK_MINUS_FS0|macro_f1,block_macro_f1,TAGID_STRATIFIED_BLOCK,10000,0.023366387563455042,-0.014805744764309244,0.06116099623135016
FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION|1|RANDOM_BLOCK_MINUS_FS0|accuracy,block_accuracy,TAGID_STRATIFIED_BLOCK,10000,-0.016507936507936506,-0.057142857142857134,0.027936507936507936
FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION|3|ER_BALANCED_MINUS_RANDOM|macro_f1,block_macro_f1,TAGID_STRATIFIED_BLOCK,10000,0.0021452538208101444,-0.01542115431744558,0.018793432857409784
FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION|3|ER_BALANCED_MINUS_RANDOM|accuracy,block_accuracy,TAGID_STRATIFIED_BLOCK,10000,-0.0019047619047619048,-0.022222222222222223,0.01714285714285714
FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION|3|SURFACE_BALANCED_MINUS_RANDOM|macro_f1,block_macro_f1,TAGID_STRATIFIED_BLOCK,10000,0.0016377884717849915,-0.013213596722543222,0.015562971436750641
FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION|3|SURFACE_BALANCED_MINUS_RANDOM|accuracy,block_accuracy,TAGID_STRATIFIED_BLOCK,10000,0.0025396825396825397,-0.012698412698412698,0.01714285714285714
FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION|3|JOINT_FACTOR_COVERAGE_MINUS_RANDOM|macro_f1,block_macro_f1,TAGID_STRATIFIED_BLOCK,10000,-0.0038048414458409997,-0.022275366768098645,0.013136086768458673
FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION|3|JOINT_FACTOR_COVERAGE_MINUS_RANDOM|accuracy,block_accuracy,TAGID_STRATIFIED_BLOCK,10000,-0.008888888888888889,-0.029206349206349205,0.009523809523809523
FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION|3|RANDOM_BLOCK_MINUS_FS0|macro_f1,block_macro_f1,TAGID_STRATIFIED_BLOCK,10000,0.025168493907193598,-0.018646228848216973,0.07083326959756253
FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION|3|RANDOM_BLOCK_MINUS_FS0|accuracy,block_accuracy,TAGID_STRATIFIED_BLOCK,10000,-0.016507936507936506,-0.06285714285714286,0.03301587301587301
FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION|3|ER_BALANCED_MINUS_FS0|macro_f1,block_macro_f1,TAGID_STRATIFIED_BLOCK,10000,0.02731374772800374,-0.02428135347173575,0.07989581114578338
FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION|3|ER_BALANCED_MINUS_FS0|accuracy,block_accuracy,TAGID_STRATIFIED_BLOCK,10000,-0.018412698412698412,-0.0711111111111111,0.03809523809523809
FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION|3|SURFACE_BALANCED_MINUS_FS0|macro_f1,block_macro_f1,TAGID_STRATIFIED_BLOCK,10000,0.026806282378978592,-0.016518563227081208,0.07203071206450362
FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION|3|SURFACE_BALANCED_MINUS_FS0|accuracy,block_accuracy,TAGID_STRATIFIED_BLOCK,10000,-0.013968253968253968,-0.06095238095238095,0.03619047619047619
FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION|3|JOINT_FACTOR_COVERAGE_MINUS_FS0|macro_f1,block_macro_f1,TAGID_STRATIFIED_BLOCK,10000,0.0213636524613526,-0.030949941628612445,0.07411963932865578
FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION|3|JOINT_FACTOR_COVERAGE_MINUS_FS0|accuracy,block_accuracy,TAGID_STRATIFIED_BLOCK,10000,-0.025396825396825397,-0.07809523809523809,0.029841269841269842
FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION|5|JOINT_FACTOR_COVERAGE_MINUS_RANDOM|macro_f1,block_macro_f1,TAGID_STRATIFIED_BLOCK,10000,-0.00012405327424461375,-0.026384599206662713,0.02525011334233961
FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION|5|JOINT_FACTOR_COVERAGE_MINUS_RANDOM|accuracy,block_accuracy,TAGID_STRATIFIED_BLOCK,10000,0.0025396825396825397,-0.024126984126984125,0.029206349206349205
FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION|5|RANDOM_BLOCK_MINUS_FS0|macro_f1,block_macro_f1,TAGID_STRATIFIED_BLOCK,10000,0.025192548654381634,-0.036845188791951054,0.08306186011592388
FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION|5|RANDOM_BLOCK_MINUS_FS0|accuracy,block_accuracy,TAGID_STRATIFIED_BLOCK,10000,-0.013968253968253968,-0.07682539682539682,0.04634920634920634
FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION|5|JOINT_FACTOR_COVERAGE_MINUS_FS0|macro_f1,block_macro_f1,TAGID_STRATIFIED_BLOCK,10000,0.02506849538013702,-0.03808449763215686,0.08296597315681453
FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION|5|JOINT_FACTOR_COVERAGE_MINUS_FS0|accuracy,block_accuracy,TAGID_STRATIFIED_BLOCK,10000,-0.011428571428571429,-0.07555555555555556,0.05015873015873015
