fold,class_index,factor_cell,partition,physical_rows
0,0,E0xS0,QUERY,50
0,0,E0xS1,SUPPORT_CANDIDATE,50
0,0,E0xS2,SUPPORT_CANDIDATE,50
0,0,E1xS0,SUPPORT_CANDIDATE,50
0,0,E1xS1,QUERY,50
0,0,E1xS2,SUPPORT_CANDIDATE,50
0,0,E2xS0,SUPPORT_CANDIDATE,50
0,0,E2xS1,SUPPORT_CANDIDATE,50
0,0,E2xS2,QUERY,50
0,1,E0xS0,QUERY,50
0,1,E0xS1,SUPPORT_CANDIDATE,50
0,1,E0xS2,SUPPORT_CANDIDATE,50
0,1,E1xS0,SUPPORT_CANDIDATE,50
0,1,E1xS1,QUERY,50
0,1,E1xS2,SUPPORT_CANDIDATE,50
0,1,E2xS0,SUPPORT_CANDIDATE,50
0,1,E2xS1,SUPPORT_CANDIDATE,50
0,1,E2xS2,QUERY,50
0,2,E0xS0,QUERY,50
0,2,E0xS1,SUPPORT_CANDIDATE,50
0,2,E0xS2,SUPPORT_CANDIDATE,50
0,2,E1xS0,SUPPORT_CANDIDATE,50
0,2,E1xS1,QUERY,50
0,2,E1xS2,SUPPORT_CANDIDATE,50
0,2,E2xS0,SUPPORT_CANDIDATE,50
0,2,E2xS1,SUPPORT_CANDIDATE,50
0,2,E2xS2,QUERY,50
0,3,E0xS0,QUERY,50
0,3,E0xS1,SUPPORT_CANDIDATE,50
0,3,E0xS2,SUPPORT_CANDIDATE,50
0,3,E1xS0,SUPPORT_CANDIDATE,50
0,3,E1xS1,QUERY,50
0,3,E1xS2,SUPPORT_CANDIDATE,50
0,3,E2xS0,SUPPORT_CANDIDATE,50
0,3,E2xS1,SUPPORT_CANDIDATE,50
0,3,E2xS2,QUERY,50
0,4,E0xS0,QUERY,50
0,4,E0xS1,SUPPORT_CANDIDATE,50
0,4,E0xS2,SUPPORT_CANDIDATE,50
0,4,E1xS0,SUPPORT_CANDIDATE,50
0,4,E1xS1,QUERY,50
0,4,E1xS2,SUPPORT_CANDIDATE,50
0,4,E2xS0,SUPPORT_CANDIDATE,50
0,4,E2xS1,SUPPORT_CANDIDATE,50
0,4,E2xS2,QUERY,50
0,5,E0xS0,QUERY,50
0,5,E0xS1,SUPPORT_CANDIDATE,50
0,5,E0xS2,SUPPORT_CANDIDATE,50
0,5,E1xS0,SUPPORT_CANDIDATE,50
0,5,E1xS1,QUERY,50
0,5,E1xS2,SUPPORT_CANDIDATE,50
0,5,E2xS0,SUPPORT_CANDIDATE,50
0,5,E2xS1,SUPPORT_CANDIDATE,50
0,5,E2xS2,QUERY,50
0,6,E0xS0,QUERY,50
0,6,E0xS1,SUPPORT_CANDIDATE,50
0,6,E0xS2,SUPPORT_CANDIDATE,50
0,6,E1xS0,SUPPORT_CANDIDATE,50
0,6,E1xS1,QUERY,50
0,6,E1xS2,SUPPORT_CANDIDATE,50
0,6,E2xS0,SUPPORT_CANDIDATE,50
0,6,E2xS1,SUPPORT_CANDIDATE,50
0,6,E2xS2,QUERY,50
1,0,E0xS0,SUPPORT_CANDIDATE,50
1,0,E0xS1,QUERY,50
1,0,E0xS2,SUPPORT_CANDIDATE,50
1,0,E1xS0,SUPPORT_CANDIDATE,50
1,0,E1xS1,SUPPORT_CANDIDATE,50
1,0,E1xS2,QUERY,50
1,0,E2xS0,QUERY,50
1,0,E2xS1,SUPPORT_CANDIDATE,50
1,0,E2xS2,SUPPORT_CANDIDATE,50
1,1,E0xS0,SUPPORT_CANDIDATE,50
1,1,E0xS1,QUERY,50
1,1,E0xS2,SUPPORT_CANDIDATE,50
1,1,E1xS0,SUPPORT_CANDIDATE,50
1,1,E1xS1,SUPPORT_CANDIDATE,50
1,1,E1xS2,QUERY,50
1,1,E2xS0,QUERY,50
1,1,E2xS1,SUPPORT_CANDIDATE,50
1,1,E2xS2,SUPPORT_CANDIDATE,50
1,2,E0xS0,SUPPORT_CANDIDATE,50
1,2,E0xS1,QUERY,50
1,2,E0xS2,SUPPORT_CANDIDATE,50
1,2,E1xS0,SUPPORT_CANDIDATE,50
1,2,E1xS1,SUPPORT_CANDIDATE,50
1,2,E1xS2,QUERY,50
1,2,E2xS0,QUERY,50
1,2,E2xS1,SUPPORT_CANDIDATE,50
1,2,E2xS2,SUPPORT_CANDIDATE,50
1,3,E0xS0,SUPPORT_CANDIDATE,50
1,3,E0xS1,QUERY,50
1,3,E0xS2,SUPPORT_CANDIDATE,50
1,3,E1xS0,SUPPORT_CANDIDATE,50
1,3,E1xS1,SUPPORT_CANDIDATE,50
1,3,E1xS2,QUERY,50
1,3,E2xS0,QUERY,50
1,3,E2xS1,SUPPORT_CANDIDATE,50
1,3,E2xS2,SUPPORT_CANDIDATE,50
1,4,E0xS0,SUPPORT_CANDIDATE,50
1,4,E0xS1,QUERY,50
1,4,E0xS2,SUPPORT_CANDIDATE,50
1,4,E1xS0,SUPPORT_CANDIDATE,50
1,4,E1xS1,SUPPORT_CANDIDATE,50
1,4,E1xS2,QUERY,50
1,4,E2xS0,QUERY,50
1,4,E2xS1,SUPPORT_CANDIDATE,50
1,4,E2xS2,SUPPORT_CANDIDATE,50
1,5,E0xS0,SUPPORT_CANDIDATE,50
1,5,E0xS1,QUERY,50
1,5,E0xS2,SUPPORT_CANDIDATE,50
1,5,E1xS0,SUPPORT_CANDIDATE,50
1,5,E1xS1,SUPPORT_CANDIDATE,50
1,5,E1xS2,QUERY,50
1,5,E2xS0,QUERY,50
1,5,E2xS1,SUPPORT_CANDIDATE,50
1,5,E2xS2,SUPPORT_CANDIDATE,50
1,6,E0xS0,SUPPORT_CANDIDATE,50
1,6,E0xS1,QUERY,50
1,6,E0xS2,SUPPORT_CANDIDATE,50
1,6,E1xS0,SUPPORT_CANDIDATE,50
1,6,E1xS1,SUPPORT_CANDIDATE,50
1,6,E1xS2,QUERY,50
1,6,E2xS0,QUERY,50
1,6,E2xS1,SUPPORT_CANDIDATE,50
1,6,E2xS2,SUPPORT_CANDIDATE,50
2,0,E0xS0,SUPPORT_CANDIDATE,50
2,0,E0xS1,SUPPORT_CANDIDATE,50
2,0,E0xS2,QUERY,50
2,0,E1xS0,QUERY,50
2,0,E1xS1,SUPPORT_CANDIDATE,50
2,0,E1xS2,SUPPORT_CANDIDATE,50
2,0,E2xS0,SUPPORT_CANDIDATE,50
2,0,E2xS1,QUERY,50
2,0,E2xS2,SUPPORT_CANDIDATE,50
2,1,E0xS0,SUPPORT_CANDIDATE,50
2,1,E0xS1,SUPPORT_CANDIDATE,50
2,1,E0xS2,QUERY,50
2,1,E1xS0,QUERY,50
2,1,E1xS1,SUPPORT_CANDIDATE,50
2,1,E1xS2,SUPPORT_CANDIDATE,50
2,1,E2xS0,SUPPORT_CANDIDATE,50
2,1,E2xS1,QUERY,50
2,1,E2xS2,SUPPORT_CANDIDATE,50
2,2,E0xS0,SUPPORT_CANDIDATE,50
2,2,E0xS1,SUPPORT_CANDIDATE,50
2,2,E0xS2,QUERY,50
2,2,E1xS0,QUERY,50
2,2,E1xS1,SUPPORT_CANDIDATE,50
2,2,E1xS2,SUPPORT_CANDIDATE,50
2,2,E2xS0,SUPPORT_CANDIDATE,50
2,2,E2xS1,QUERY,50
2,2,E2xS2,SUPPORT_CANDIDATE,50
2,3,E0xS0,SUPPORT_CANDIDATE,50
2,3,E0xS1,SUPPORT_CANDIDATE,50
2,3,E0xS2,QUERY,50
2,3,E1xS0,QUERY,50
2,3,E1xS1,SUPPORT_CANDIDATE,50
2,3,E1xS2,SUPPORT_CANDIDATE,50
2,3,E2xS0,SUPPORT_CANDIDATE,50
2,3,E2xS1,QUERY,50
2,3,E2xS2,SUPPORT_CANDIDATE,50
2,4,E0xS0,SUPPORT_CANDIDATE,50
2,4,E0xS1,SUPPORT_CANDIDATE,50
2,4,E0xS2,QUERY,50
2,4,E1xS0,QUERY,50
2,4,E1xS1,SUPPORT_CANDIDATE,50
2,4,E1xS2,SUPPORT_CANDIDATE,50
2,4,E2xS0,SUPPORT_CANDIDATE,50
2,4,E2xS1,QUERY,50
2,4,E2xS2,SUPPORT_CANDIDATE,50
2,5,E0xS0,SUPPORT_CANDIDATE,50
2,5,E0xS1,SUPPORT_CANDIDATE,50
2,5,E0xS2,QUERY,50
2,5,E1xS0,QUERY,50
2,5,E1xS1,SUPPORT_CANDIDATE,50
2,5,E1xS2,SUPPORT_CANDIDATE,50
2,5,E2xS0,SUPPORT_CANDIDATE,50
2,5,E2xS1,QUERY,50
2,5,E2xS2,SUPPORT_CANDIDATE,50
2,6,E0xS0,SUPPORT_CANDIDATE,50
2,6,E0xS1,SUPPORT_CANDIDATE,50
2,6,E0xS2,QUERY,50
2,6,E1xS0,QUERY,50
2,6,E1xS1,SUPPORT_CANDIDATE,50
2,6,E1xS2,SUPPORT_CANDIDATE,50
2,6,E2xS0,SUPPORT_CANDIDATE,50
2,6,E2xS1,QUERY,50
2,6,E2xS2,SUPPORT_CANDIDATE,50
