fold,support_seed,selection_rank,first_included_budget,dataset_index,sample_id,class_index,TagID,ER,surface_index,factor_cell,condition_block_id,row_ordinal_within_block,exact_signal_sha256
0,104729,1,7,130,P4_S0_R0130,0,1,2,0,E2xS0,block_ca31f3a2de70f6f36fe7,30,222cadf10668d8edd0a93504270023d14b0c637d63fb7853d697005498608396
0,104729,2,7,288,P4_S0_R0288,1,2,2,0,E2xS0,block_514d45a2b30c2c844b4a,38,4bd0c98381c9ee383cef88e1c1c97721b273f642a87bd02ad8bed77373c047d6
0,104729,3,7,406,P4_S0_R0406,2,3,2,0,E2xS0,block_a9ba10c5c71cce187f2d,6,c7b1060f7fb27297cc4233f74c9f833b56916138f51628ad00ddbce806392440
0,104729,4,7,574,P4_S0_R0574,3,4,2,0,E2xS0,block_441a737804e3b88f75d1,24,80d5f3f33f17965b80e4d7a32ca76ca7e5ac2268e3336558ebb5c1b8557ff978
0,104729,5,7,744,P4_S0_R0744,4,5,2,0,E2xS0,block_fc4af4c92525fc000f31,44,f007baed64d35c039010c7a32aada879e0fc3697f0290570cc03538a384826c5
0,104729,6,7,875,P4_S0_R0875,5,6,2,0,E2xS0,block_dd0ea449f458e46f0ca5,25,e39b3d978e6681ff82781cf1079dbd31a89164e6f053deeb36b3fadc5f93d0f0
0,104729,7,7,1006,P4_S0_R1006,6,7,2,0,E2xS0,block_8dfa1f4b216948ad599a,6,1e139a525205b28539b51f49ab95c135d3da5d5b4e702817427f09867dafceef
0,104729,8,10,1173,P4_S1_R0123,0,1,2,1,E2xS1,block_3fd830e3c85599e9b165,23,f8fe930c2ec2defb5bab9d9be9d2cca1ed547c7bb1ffc863f7834a07f662534b
0,104729,9,10,1323,P4_S1_R0273,1,2,2,1,E2xS1,block_bc3f8e677b092fd01efe,23,51b6c99143022f011ed11e14022f40dd99f0d00d03355875eb08332678de6ab8
0,104729,10,10,1498,P4_S1_R0448,2,3,2,1,E2xS1,block_43a8de3c5649853c978d,48,eaab670badcda445d7f5372c501e2cae992d465ff862431aa4a8682491f96c76
