budget,source_seed,support_seed,fold,prediction_sha256,access_sequence,passed
0,42,,0,1c68e9101f351d55d0a638e619a1576c790f33083589f821ccfb020c2e3bf5e1,QUERY_LABELS_SEALED>QUERY_PREDICTIONS_FROZEN>QUERY_LABELS_OPENED_AFTER_PREDICTION_FREEZE>QUERY_METRICS_COMPUTED_ONCE,True
7,42,104729,0,07da4acf4a8714d248fce2abd8a49f730d7510fa4826d920164129af2619932a,QUERY_LABELS_SEALED>QUERY_PREDICTIONS_FROZEN>QUERY_LABELS_OPENED_AFTER_PREDICTION_FREEZE>QUERY_METRICS_COMPUTED_ONCE,True
10,42,104729,0,20a5c7baa2678efa617a9f55201dfa2776fd35640769fd518b961c6fc4d1bc94,QUERY_LABELS_SEALED>QUERY_PREDICTIONS_FROZEN>QUERY_LABELS_OPENED_AFTER_PREDICTION_FREEZE>QUERY_METRICS_COMPUTED_ONCE,True
20,42,104729,0,9b7b4c3ec3155b5c4043d864313eb9df28a11436f1ff420b31fa1390061b8cce,QUERY_LABELS_SEALED>QUERY_PREDICTIONS_FROZEN>QUERY_LABELS_OPENED_AFTER_PREDICTION_FREEZE>QUERY_METRICS_COMPUTED_ONCE,True
21,42,104729,0,9b7b4c3ec3155b5c4043d864313eb9df28a11436f1ff420b31fa1390061b8cce,QUERY_LABELS_SEALED>QUERY_PREDICTIONS_FROZEN>QUERY_LABELS_OPENED_AFTER_PREDICTION_FREEZE>QUERY_METRICS_COMPUTED_ONCE,True
35,42,104729,0,6f95fcfa171198e1d79f0a567a49589afc2456fa204779511ba208dd8ce19bfd,QUERY_LABELS_SEALED>QUERY_PREDICTIONS_FROZEN>QUERY_LABELS_OPENED_AFTER_PREDICTION_FREEZE>QUERY_METRICS_COMPUTED_ONCE,True
50,42,104729,0,1e712828f596c66a13a608c9762042c45a9f75d7c5fe39e9611edacac94b5d65,QUERY_LABELS_SEALED>QUERY_PREDICTIONS_FROZEN>QUERY_LABELS_OPENED_AFTER_PREDICTION_FREEZE>QUERY_METRICS_COMPUTED_ONCE,True
100,42,104729,0,28e401b2c43f95eda6709d472dc2c6fc4f8f039b5ed614ac8a7549b00fcc6df4,QUERY_LABELS_SEALED>QUERY_PREDICTIONS_FROZEN>QUERY_LABELS_OPENED_AFTER_PREDICTION_FREEZE>QUERY_METRICS_COMPUTED_ONCE,True
200,42,104729,0,4c376fcfb56f5927583e2447e3e0924ee2a782c79ad242ac083098fab796c71b,QUERY_LABELS_SEALED>QUERY_PREDICTIONS_FROZEN>QUERY_LABELS_OPENED_AFTER_PREDICTION_FREEZE>QUERY_METRICS_COMPUTED_ONCE,True
500,42,104729,0,2db7712ef4536e8ecf01a11db48b947111a5f44d4c0a610a70fdd010ac356741,QUERY_LABELS_SEALED>QUERY_PREDICTIONS_FROZEN>QUERY_LABELS_OPENED_AFTER_PREDICTION_FREEZE>QUERY_METRICS_COMPUTED_ONCE,True
