budget,budget_label,claim_type,method,source_seed,support_seed,query_rows,query_condition_blocks,accuracy,macro_f1,balanced_accuracy,worst_class_f1,block_majority_accuracy,block_majority_macro_f1,prediction_sha256
0,0 labels (strict source-only DG),STRICT_SOURCE_ONLY_DG,FS0_FROZEN_SOURCE_HEAD,42,,3150,63,0.1726984126984127,0.12305412236755582,0.17269841269841266,0.0,0.1746031746031746,0.12412349555206696,1a09163e96887fb810f2a0231757c88c16745838560b6d055389ec8f344035fe
0,0 labels (strict source-only DG),STRICT_SOURCE_ONLY_DG,FS0_FROZEN_SOURCE_HEAD,43,,3150,63,0.11936507936507937,0.09655707116594889,0.11936507936507937,0.0,0.12698412698412698,0.10762570762570764,fadb12c4bbaa97ff43fc1e3e8d232428f563e6fa3bd3138de0626121afa164db
0,0 labels (strict source-only DG),STRICT_SOURCE_ONLY_DG,FS0_FROZEN_SOURCE_HEAD,44,,3150,63,0.1292063492063492,0.10079515335097167,0.1292063492063492,0.0,0.12698412698412698,0.09766218081435472,6c84d5025143f44a94a29df99ec51bc015f73a55019f7dcf36a617c1cde82cc3
0,0 labels (strict source-only DG),STRICT_SOURCE_ONLY_DG,FS0_FROZEN_SOURCE_HEAD,45,,3150,63,0.20412698412698413,0.1445645243313212,0.20412698412698416,0.0,0.20634920634920634,0.14337614644520014,5fda7c3742694b7157efb7361e632f815da619635b5b352f5f798242ea225774
0,0 labels (strict source-only DG),STRICT_SOURCE_ONLY_DG,FS0_FROZEN_SOURCE_HEAD,46,,3150,63,0.15777777777777777,0.096183546957079,0.15777777777777777,0.0,0.15873015873015872,0.09582417582417582,effeb82b8a1358020f7dccccb715074bc75690f228588253e84cd29106ba4cc5
7,1-shot (7 labels),TARGET_ASSISTED_LABELLED_TARGET_CALIBRATION,TARGET_ONLY_COSINE_PROTOTYPE,42,104729,3150,63,0.14412698412698413,0.1471396036244596,0.14412698412698413,0.0,0.14285714285714285,0.14703727644904116,7a5156ab514e30414a515b96d3de586015b133de8539c339f16202e7d36d53b0
7,1-shot (7 labels),TARGET_ASSISTED_LABELLED_TARGET_CALIBRATION,TARGET_ONLY_COSINE_PROTOTYPE,42,130363,3150,63,0.15555555555555556,0.14993668440504956,0.15555555555555559,0.0,0.15873015873015872,0.1522108843537415,b26d511d7c12f01aa4ff62f98c3a70b4df8c95c5947e3bcd05e9dc62ef856144
7,1-shot (7 labels),TARGET_ASSISTED_LABELLED_TARGET_CALIBRATION,TARGET_ONLY_COSINE_PROTOTYPE,42,155921,3150,63,0.1307936507936508,0.10067354301581306,0.1307936507936508,0.0,0.12698412698412698,0.09735330232224641,374e7659f3a9319a963e6322e210d38483daa02bdaba794f3a4c4f7b03888b6a
7,1-shot (7 labels),TARGET_ASSISTED_LABELLED_TARGET_CALIBRATION,TARGET_ONLY_COSINE_PROTOTYPE,42,181081,3150,63,0.20285714285714285,0.18438606430992452,0.20285714285714285,0.0,0.20634920634920634,0.18715705476789218,e3ea65d46cbd5e8697b338bcd844a34b7ccdfd97db9fcda8e51b281cdce2819b
7,1-shot (7 labels),TARGET_ASSISTED_LABELLED_TARGET_CALIBRATION,TARGET_ONLY_COSINE_PROTOTYPE,42,205439,3150,63,0.12285714285714286,0.11650715817405974,0.12285714285714286,0.0,0.12698412698412698,0.11977247039166546,05be5ffe766cfea5ae67cadc6b8559bd877ae607ceaca88f56ef01a930b777a0
