contrast,metric,estimate,ci_95_lower,ci_95_upper,replicates,seed,scheme
budget_0,macro_f1,0.11223088363457531,0.061166882460495876,0.16200529817788056,10000,20260809,TAGID_STRATIFIED_BLOCK_X_SOURCE_SEED_X_SUPPORT_SEED
budget_0,accuracy,0.15663492063492063,0.09974285714285715,0.21498571428571428,10000,20260809,TAGID_STRATIFIED_BLOCK_X_SOURCE_SEED_X_SUPPORT_SEED
budget_0,macro_f1_delta_vs_0,0.0,0.0,0.0,10000,20260809,TAGID_STRATIFIED_BLOCK_X_SOURCE_SEED_X_SUPPORT_SEED
budget_0,accuracy_delta_vs_0,0.0,0.0,0.0,10000,20260809,TAGID_STRATIFIED_BLOCK_X_SOURCE_SEED_X_SUPPORT_SEED
budget_7,macro_f1,0.12710312787047973,0.09980072420303378,0.15207010960560843,10000,20260809,TAGID_STRATIFIED_BLOCK_X_SOURCE_SEED_X_SUPPORT_SEED
budget_7,accuracy,0.14065396825396825,0.11291047619047619,0.17129650793650794,10000,20260809,TAGID_STRATIFIED_BLOCK_X_SOURCE_SEED_X_SUPPORT_SEED
budget_7,macro_f1_delta_vs_0,0.014872244235904414,-0.04425619207278983,0.07350846048491294,10000,20260809,TAGID_STRATIFIED_BLOCK_X_SOURCE_SEED_X_SUPPORT_SEED
budget_7,accuracy_delta_vs_0,-0.015980952380952373,-0.08247031746031745,0.05046055555555555,10000,20260809,TAGID_STRATIFIED_BLOCK_X_SOURCE_SEED_X_SUPPORT_SEED
budget_10,macro_f1,0.130599968499339,0.10218598439513282,0.15488314702184178,10000,20260809,TAGID_STRATIFIED_BLOCK_X_SOURCE_SEED_X_SUPPORT_SEED
budget_10,accuracy,0.14254920634920634,0.11554158730158728,0.17197134920634916,10000,20260809,TAGID_STRATIFIED_BLOCK_X_SOURCE_SEED_X_SUPPORT_SEED
budget_10,macro_f1_delta_vs_0,0.018369084864763685,-0.040859884969118035,0.07487524177243002,10000,20260809,TAGID_STRATIFIED_BLOCK_X_SOURCE_SEED_X_SUPPORT_SEED
budget_10,accuracy_delta_vs_0,-0.014085714285714285,-0.0789246031746032,0.049857698412698395,10000,20260809,TAGID_STRATIFIED_BLOCK_X_SOURCE_SEED_X_SUPPORT_SEED
budget_20,macro_f1,0.13556003588968646,0.09952233729162939,0.1674050138053344,10000,20260809,TAGID_STRATIFIED_BLOCK_X_SOURCE_SEED_X_SUPPORT_SEED
