budget,budget_label,claim_type,method,independent_condition_blocks_mean,independent_condition_blocks_range,unique_exact_signals_mean,macro_f1,macro_f1_ci_95_lower,macro_f1_ci_95_upper,macro_f1_delta_vs_0,macro_f1_delta_vs_0_ci_95_lower,macro_f1_delta_vs_0_ci_95_upper,accuracy,accuracy_ci_95_lower,accuracy_ci_95_upper,accuracy_delta_vs_0,accuracy_delta_vs_0_ci_95_lower,accuracy_delta_vs_0_ci_95_upper,balanced_accuracy,block_majority_macro_f1,block_majority_accuracy,crossed_unit_count,crossed_unit_macro_f1_sd,source_seed_macro_f1_sd,support_seed_macro_f1_sd
0,0 labels (strict source-only DG),STRICT_SOURCE_ONLY_DG,FS0_FROZEN_SOURCE_HEAD,0.0,0-0,0.0,0.11223088363457531,0.061166882460495876,0.16200529817788056,0.0,0.0,0.0,0.15663492063492063,0.09974285714285715,0.21498571428571428,0.0,0.0,0.0,0.15663492063492063,0.11372234125230105,0.15873015873015872,5,0.02119297145423022,0.02119297145423023,0.0
7,1-shot (7 labels),TARGET_ASSISTED_LABELLED_TARGET_CALIBRATION,TARGET_ONLY_COSINE_PROTOTYPE,7.0,7-7,7.0,0.12710312787047973,0.09980072420303378,0.15207010960560843,0.014872244235904414,-0.04425619207278983,0.07350846048491294,0.14065396825396825,0.11291047619047619,0.17129650793650794,-0.015980952380952373,-0.08247031746031745,0.05046055555555555,0.14065396825396825,0.12719483213670857,0.14079365079365078,100,0.03226160592363261,0.0067431991606114435,0.019616161454043202
10,10 labels,TARGET_ASSISTED_LABELLED_TARGET_CALIBRATION,TARGET_ONLY_COSINE_PROTOTYPE,10.0,10-10,10.0,0.130599968499339,0.10218598439513282,0.15488314702184178,0.018369084864763685,-0.040859884969118035,0.07487524177243002,0.14254920634920634,0.11554158730158728,0.17197134920634916,-0.014085714285714285,-0.0789246031746032,0.049857698412698395,0.14254920634920634,0.1314210047810964,0.14365079365079364,100,0.034576112355123596,0.009041020672006374,0.020742827863411972
20,20 labels,TARGET_ASSISTED_LABELLED_TARGET_CALIBRATION,TARGET_ONLY_COSINE_PROTOTYPE,20.0,20-20,20.0,0.13556003588968646,0.09952233729162939,0.1674050138053344,0.023329152255111146,-0.03986784041718336,0.08339854266978643,0.14457142857142857,0.10821420634920635,0.18225142857142856,-0.012063492063492054,-0.08147507936507935,0.057590396825396725,0.14457142857142857,0.13624948233590276,0.14587301587301585,100,0.03804979517494878,0.01609956941925872,0.023463410185264696
21,3-shot (21 labels),TARGET_ASSISTED_LABELLED_TARGET_CALIBRATION,TARGET_ONLY_COSINE_PROTOTYPE,21.0,21-21,21.0,0.13368078813460912,0.09786191533374343,0.16606381699065326,0.021449904500033812,-0.041286087382797376,0.08163609040455751,0.1432253968253968,0.10744111111111111,0.18192087301587304,-0.013409523809523816,-0.08287968253968252,0.056568650793650796,0.1432253968253968,0.1342356118878131,0.14444444444444443,100,0.03717254281814186,0.01407181925096368,0.02383472087204441
35,5-shot (35 labels),TARGET_ASSISTED_LABELLED_TARGET_CALIBRATION,TARGET_ONLY_COSINE_PROTOTYPE,35.0,35-35,35.0,0.11964632247065266,0.08012534608338585,0.15855527197577224,0.007415438836077343,-0.057443338544895875,0.07008966736650012,0.13103492063492062,0.09011714285714285,0.17500404761904761,-0.02560000000000001,-0.09660357142857141,0.04634666666666667,0.13103492063492062,0.11987084156886504,0.13158730158730156,100,0.03081828145750652,0.015227840166818857,0.015688864573624263
50,50 labels,TARGET_ASSISTED_LABELLED_TARGET_CALIBRATION,TARGET_ONLY_COSINE_PROTOTYPE,42.0,42-42,49.68333333333333,0.11468826905814289,0.07284115414465422,0.15682669807766084,0.0024573854235675763,-0.0629500686741675,0.06681785374522889,0.12652063492063492,0.08351103174603174,0.17330571428571429,-0.030114285714285705,-0.10375690476190476,0.04444865079365075,0.12652063492063492,0.11677659997477723,0.12920634920634919,100,0.030709078697390854,0.02114722459021335,0.01471675246879351
100,100 labels,TARGET_ASSISTED_LABELLED_TARGET_CALIBRATION,TARGET_ONLY_COSINE_PROTOTYPE,42.0,42-42,97.15,0.10994889440572798,0.06704196893256477,0.1527182636527473,-0.002281989228847328,-0.06859311265354588,0.06487687980745327,0.12345396825396826,0.07944833333333333,0.1709052380952381,-0.03318095238095237,-0.10924198412698412,0.043136190476190446,0.12345396825396826,0.1113114082853696,0.12555555555555553,100,0.027611159081197666,0.020160754329779047,0.011170404648487498
200,200 labels,TARGET_ASSISTED_LABELLED_TARGET_CALIBRATION,TARGET_ONLY_COSINE_PROTOTYPE,42.0,42-42,183.6,0.1077979589058548,0.06537390636516155,0.15092365240451155,-0.004432924728720519,-0.0694697809638148,0.0603481873696315,0.12227936507936507,0.07692325396825397,0.1714070634920635,-0.034355555555555556,-0.10919690476190477,0.03955253968253966,0.12227936507936507,0.10887962579259178,0.12412698412698411,100,0.02102900391746629,0.016288969278611513,0.008438739824001907
500,500 labels,TARGET_ASSISTED_LABELLED_TARGET_CALIBRATION,TARGET_ONLY_COSINE_PROTOTYPE,42.0,42-42,390.95,0.10234718321923969,0.06028097736971395,0.1464506367900141,-0.009883700415335622,-0.07344157185557595,0.055155277294666585,0.11756190476190476,0.07255507936507936,0.1659030952380952,-0.03907301587301587,-0.11259611111111117,0.0352095238095238,0.11756190476190476,0.10295436769239533,0.11888888888888889,100,0.018358839121945008,0.01697806432671816,0.006266058247644975
