budget,crossed_unit_macro_f1_sd,source_seed_macro_f1_sd,support_seed_macro_f1_sd,crossed_unit_accuracy_sd,source_seed_accuracy_sd,support_seed_accuracy_sd
0,0.02119297145423022,0.02119297145423023,0.0,0.03411819746611935,0.034118197466119334,0.0
7,0.03226160592363261,0.0067431991606114435,0.019616161454043202,0.03104067507668979,0.00421933306091874,0.01995710188999948
10,0.034576112355123596,0.009041020672006374,0.020742827863411972,0.03501090130708775,0.008004947764509263,0.021592090235005183
20,0.03804979517494878,0.01609956941925872,0.023463410185264696,0.03944560337727001,0.01653697842197294,0.025394494462790553
21,0.03717254281814186,0.01407181925096368,0.02383472087204441,0.037377633262196196,0.014360520192055883,0.02449457996970385
35,0.03081828145750652,0.015227840166818857,0.015688864573624263,0.029131318531886025,0.012471395338456821,0.01602294571401708
50,0.030709078697390854,0.02114722459021335,0.01471675246879351,0.029187431395409004,0.01619463220857067,0.01650546990119058
100,0.027611159081197666,0.020160754329779047,0.011170404648487498,0.02580970623013577,0.015142589262546871,0.011944404505105352
200,0.02102900391746629,0.016288969278611513,0.008438739824001907,0.015913840717852606,0.007573928907308982,0.008261262762187511
500,0.018358839121945008,0.01697806432671816,0.006266058247644975,0.010276184874175313,0.003857087333848201,0.005780821216851653
