budget,source_seed,support_seed,fold,support_rows,class_count_min,class_count_max,regularization_lambda,initial_support_cross_entropy,support_cross_entropy,proximal_penalty,initial_objective,final_objective,objective_reduction,gradient_inf_norm,optimizer_iterations,optimizer_function_evaluations,closure_evaluations,support_accuracy,support_macro_f1,support_worst_class_f1,weight_displacement_frobenius,bias_displacement_l2,anchor_head_sha256,adapted_head_sha256,optimizer_completed_finite
7,42,104729,0,7,1,1,100.0,3.28427488874696,1.0327134707207326,0.6046324856556712,3.28427488874696,1.6373459563764037,1.6469289323705563,2.624370519718755e-07,62,86,86,1.0,1.0,1.0,3.297685583312283,0.05107064283764159,a338f249b8447412c022bd15c7755a1fd821f875683f31dcfde2df2cd1ea8def,e611a73a0e884dc34b67aec2661fa7641470187e1491c76b4a12651c43af7e33,True
10,42,104729,0,10,1,2,100.0,2.665010324406239,1.128340079072593,0.42214524155958394,2.665010324406239,1.550485320632177,1.114525003774062,2.569541915119558e-07,48,56,56,0.7,0.5666666666666667,0.0,2.7551572361638006,0.05917347100823188,a338f249b8447412c022bd15c7755a1fd821f875683f31dcfde2df2cd1ea8def,26f2ebf238ce21605f2344d039c56a8e1db3de58715db30cea393513148caea2,True
20,42,104729,0,20,2,3,100.0,2.7107105998155654,1.5043686413731048,0.37027772147339355,2.7107105998155654,1.8746463628464984,0.836064236969067,2.421404840177721e-07,51,57,57,0.5,0.47551020408163264,0.0,2.580583454379,0.043419399946308605,a338f249b8447412c022bd15c7755a1fd821f875683f31dcfde2df2cd1ea8def,e0c2a6610d8e0a42b53d478c71eb9849042c04eb67c2ee918bd342f8936e2d34,True
21,42,104729,0,21,3,3,100.0,2.91952822432126,1.6633266617508227,0.36487107006964353,2.91952822432126,2.028197731820466,0.8913304925007939,2.547891357167209e-07,53,60,60,0.38095238095238093,0.3197278911564626,0.0,2.561693591315984,0.04191055670717558,a338f249b8447412c022bd15c7755a1fd821f875683f31dcfde2df2cd1ea8def,59ed31dc7da60abcb8a5d5dc32ffc5b8a3e4061c445d981bd3daaff842329d15,True
35,42,104729,0,35,5,5,100.0,2.9583749971651607,1.9389775814428927,0.2704808395942738,2.9583749971651607,2.2094584210371666,0.7489165761279941,1.477829118915505e-07,43,49,49,0.17142857142857143,0.16861471861471863,0.0,2.2056191861179264,0.03455879236146473,a338f249b8447412c022bd15c7755a1fd821f875683f31dcfde2df2cd1ea8def,b364d7ab392171dbdd3f82f6747f3cabb26d227c48792183d04ee0512c0155e0,True
50,42,104729,0,50,7,8,100.0,2.9124279910203317,1.9214706330450897,0.262086405747803,2.9124279910203317,2.183557038792893,0.7288709522274388,3.125598543665675e-07,45,52,52,0.18,0.17728937728937727,0.0,2.171032664777687,0.03939045406279425,a338f249b8447412c022bd15c7755a1fd821f875683f31dcfde2df2cd1ea8def,576b86c4479a5ca47b372755a48f47f04c1edc7b38a7593a36e01d6fbe44c8fd,True
100,42,104729,0,100,14,15,100.0,2.8362339989898215,1.9254467715070331,0.24825534991244996,2.8362339989898215,2.173702121419483,0.6625318775703386,2.1795349547902576e-07,44,52,52,0.18,0.17444779914190373,0.0,2.11298992557824,0.03724673582799909,a338f249b8447412c022bd15c7755a1fd821f875683f31dcfde2df2cd1ea8def,91d7927d72277fcc00b0114a478c969f73348ba7c8c149acf93a7d362e9edbca,True
200,42,104729,0,200,28,29,100.0,2.923628287180428,1.9455110399712674,0.2623074907686969,2.923628287180428,2.2078185307399645,0.7158097564404637,2.745649638116049e-07,41,46,46,0.24,0.2397286872228353,0.0,2.1719271005461938,0.04055155782285874,a338f249b8447412c022bd15c7755a1fd821f875683f31dcfde2df2cd1ea8def,086ee7bed9f90291db40800f22bf513af148d2f3566422a84643893ee007c5b9,True
500,42,104729,0,500,71,72,100.0,2.9291247364686472,1.9601506843486174,0.2561435900544813,2.9291247364686472,2.216294274403099,0.7128304620655483,2.1457323264419473e-07,46,52,52,0.236,0.23248673573044326,0.0,2.146224808569106,0.0417403421478899,a338f249b8447412c022bd15c7755a1fd821f875683f31dcfde2df2cd1ea8def,765dbdd4103b0db5a5a6fd8ab9e95ca65f6a5845b4993fefb9e8608ed6a8198d,True
7,42,130363,0,7,1,1,100.0,3.2837077241361015,1.030154510809235,0.6035370419942708,3.2837077241361015,1.6336915528035059,1.6500161713325956,1.5539798690119427e-07,47,53,53,1.0,1.0,1.0,3.294693907158635,0.05121956275396155,a338f249b8447412c022bd15c7755a1fd821f875683f31dcfde2df2cd1ea8def,b52889636c1dc7ef69ff780352be04fcb18526bfdc25430511190e951ff11870,True
10,42,130363,0,10,1,2,100.0,3.1996404586220732,1.0388866502242835,0.5564839057741747,3.1996404586220732,1.5953705559984583,1.604269902623615,2.0728394284266066e-07,50,59,59,0.8,0.6666666666666666,0.0,3.163426079478241,0.062296906458736534,a338f249b8447412c022bd15c7755a1fd821f875683f31dcfde2df2cd1ea8def,e9145f213d1c22b52e0646416d271f0f499a9fe23b97f423fb474848f5c958f2,True
20,42,130363,0,20,2,3,100.0,3.2332628152001552,1.6019525875994767,0.4545183806582102,3.2332628152001552,2.056470968257687,1.1767918469424683,4.82256598278866e-07,43,53,53,0.4,0.36734693877551017,0.0,2.8590848738755668,0.04918690900163822,a338f249b8447412c022bd15c7755a1fd821f875683f31dcfde2df2cd1ea8def,a2efe04a057ce1ef2fd4a414a7266a8b7834e59592a0bfbb81e3ce88c6fb1ea9,True
21,42,130363,0,21,3,3,100.0,3.1440347674743148,1.6410189870668153,0.43878162126844117,3.1440347674743148,2.0798006083352565,1.0642341591390583,2.599088259405691e-07,48,63,63,0.38095238095238093,0.3503401360544217,0.0,2.8093366700033844,0.036177910298295146,a338f249b8447412c022bd15c7755a1fd821f875683f31dcfde2df2cd1ea8def,a02713b3ec3d8e67733111e1366d13e492447dc59c8728e78b68f8d7a6b6ffd0,True
