budget,budget_label,claim_type,independent_condition_blocks_mean,unique_exact_signals_mean,prototype_macro_f1,prototype_macro_f1_ci_95_lower,prototype_macro_f1_ci_95_upper,linear_macro_f1,linear_macro_f1_ci_95_lower,linear_macro_f1_ci_95_upper,macro_f1_linear_minus_prototype,macro_f1_linear_minus_prototype_ci_95_lower,macro_f1_linear_minus_prototype_ci_95_upper,macro_f1_linear_minus_zero,macro_f1_linear_minus_zero_ci_95_lower,macro_f1_linear_minus_zero_ci_95_upper,linear_accuracy,linear_accuracy_ci_95_lower,linear_accuracy_ci_95_upper,prototype_accuracy,accuracy_linear_minus_prototype,accuracy_linear_minus_prototype_ci_95_lower,accuracy_linear_minus_prototype_ci_95_upper,linear_crossed_unit_macro_f1_sd,linear_source_seed_macro_f1_sd,linear_support_seed_macro_f1_sd,support_macro_f1_mean,support_accuracy_mean,support_minus_query_macro_f1
0,0 labels (strict source-only DG),STRICT_SOURCE_ONLY_DG,0.0,0.0,0.11223088363457531,0.061166882460495876,0.16200529817788056,0.11223088363457531,0.061166882460495876,0.16200529817788056,0.0,0.0,0.0,0.0,0.0,0.0,0.15663492063492063,0.09974285714285715,0.21498571428571428,0.15663492063492063,0.0,0.0,0.0,0.02119297145423022,0.02119297145423023,0.0,nan,nan,nan
7,1-shot (7 labels),TARGET_ASSISTED_LABELLED_TARGET_DIAGNOSTIC,7.0,7.0,0.12710312787047973,0.09980072420303378,0.15207010960560843,0.12668711884666103,0.08486761948963834,0.1667701908098296,-0.000416009023818692,-0.04543966802055604,0.04594717864814397,0.014456235212085722,-0.03327288694084656,0.06805708648746064,0.13407301587301587,0.09161539682539682,0.1808920634920635,0.14065396825396825,-0.006580952380952382,-0.05482944444444444,0.044238253968253954,0.033558443123929485,0.014329788292244973,0.016469136525686812,0.9847619047619048,0.9885714285714287,0.8580747859152438
10,10 labels,TARGET_ASSISTED_LABELLED_TARGET_DIAGNOSTIC,10.0,10.0,0.130599968499339,0.10218598439513282,0.15488314702184178,0.12612724052014962,0.08619979551222566,0.16300965121168512,-0.004472727979189378,-0.046344780947253014,0.039559402848997144,0.013896356885574307,-0.029999104006799154,0.06150083814566627,0.1381206349206349,0.09836079365079366,0.18041952380952384,0.14254920634920634,-0.004428571428571448,-0.04770817460317461,0.041261349206349225,0.033914265605451355,0.008541332952797007,0.01665112066591261,0.6733650793650793,0.7703333333333334,0.5472378388449297
20,20 labels,TARGET_ASSISTED_LABELLED_TARGET_DIAGNOSTIC,20.0,20.0,0.13556003588968646,0.09952233729162939,0.1674050138053344,0.13637318850259242,0.0821530726900315,0.18911594192825487,0.0008131526129059596,-0.058425132065507965,0.06373871905105241,0.024142304868017106,-0.022942283533407434,0.07818204473105907,0.14015873015873015,0.0867742857142857,0.19842325396825394,0.14457142857142857,-0.004412698412698424,-0.06507,0.06086666666666664,0.0265817456505107,0.012822683359627034,0.01037751796656343,0.39921703428846284,0.42183333333333334,0.2628438457858704
21,3-shot (21 labels),TARGET_ASSISTED_LABELLED_TARGET_DIAGNOSTIC,21.0,21.0,0.13368078813460912,0.09786191533374343,0.16606381699065326,0.13741805040974964,0.08040886901842537,0.19244716205923845,0.0037372622751405127,-0.05846173678357035,0.06973805985303969,0.025187166775174324,-0.02424862214779141,0.08155117628159654,0.13991746031746033,0.08428460317460318,0.20138420634920634,0.1432253968253968,-0.003307936507936482,-0.06880333333333333,0.06679690476190471,0.02840182135823509,0.014820362900815323,0.011345676227444826,0.3826598639455782,0.39555555555555555,0.24524181353582858
35,5-shot (35 labels),TARGET_ASSISTED_LABELLED_TARGET_DIAGNOSTIC,35.0,35.0,0.11964632247065266,0.08012534608338585,0.15855527197577224,0.1446726219180289,0.0807036691747576,0.20490536905590556,0.02502629944737625,-0.04821040891400069,0.09925941020779723,0.03244173828345359,-0.022081298497453446,0.09317546258802456,0.14634285714285716,0.0835965873015873,0.2140068253968254,0.13103492063492062,0.015307936507936548,-0.06220761904761902,0.09558531746031745,0.022285519350877032,0.015460994267544112,0.006294279311539077,0.24867384203098492,0.2537142857142857,0.10400122011295601
50,50 labels,TARGET_ASSISTED_LABELLED_TARGET_DIAGNOSTIC,42.0,49.68333333333333,0.11468826905814289,0.07284115414465422,0.15682669807766084,0.14045279163167435,0.07566156019749967,0.20197185900667908,0.025764522573531456,-0.04721184134130444,0.10046788610582516,0.028221907997099033,-0.027763771923319806,0.09090880016826024,0.14258412698412695,0.07942698412698414,0.2095263492063491,0.12652063492063492,0.01606349206349203,-0.06075428571428572,0.09689611111111109,0.023566409584631545,0.020969628592611336,0.0051698317476577904,0.2426045566029029,0.2501333333333334,0.10215176497122855
100,100 labels,TARGET_ASSISTED_LABELLED_TARGET_DIAGNOSTIC,42.0,97.15,0.10994889440572798,0.06704196893256477,0.1527182636527473,0.14426234944834132,0.07749245458038673,0.20817676155787063,0.034313455042613336,-0.04283513688074464,0.11102407347007781,0.03203146581376601,-0.026139971900455514,0.0968603074725524,0.14553333333333335,0.08094785714285715,0.21497198412698415,0.12345396825396826,0.022079365079365088,-0.058361031746031765,0.10424547619047621,0.023507714894375007,0.02306338507717116,0.004512597562026433,0.23272893479124998,0.2371333333333334,0.08846658534290866
200,200 labels,TARGET_ASSISTED_LABELLED_TARGET_DIAGNOSTIC,42.0,183.6,0.1077979589058548,0.06537390636516155,0.15092365240451155,0.14128568492317714,0.07474078137682107,0.20325320268537328,0.03348772601732235,-0.04719647524571719,0.108855255221567,0.029054801288601828,-0.029656307707598643,0.09526569530616887,0.14231111111111114,0.07782396825396827,0.21060896825396824,0.12227936507936507,0.020031746031746067,-0.06576246031746032,0.10274119047619043,0.023302004306780873,0.02451011314905132,0.0026246054861647655,0.22658233009896256,0.22968333333333335,0.08529664517578542
500,500 labels,TARGET_ASSISTED_LABELLED_TARGET_DIAGNOSTIC,42.0,390.95,0.10234718321923969,0.06028097736971395,0.1464506367900141,0.14274046260669399,0.07527778868276494,0.20657933694467762,0.040393279387454295,-0.04092512495978566,0.11649908852503277,0.030509578972118673,-0.0294130427767109,0.0986367053064556,0.14340000000000003,0.07834222222222223,0.21347055555555555,0.11756190476190476,0.02583809523809527,-0.059607460317460316,0.10912103174603176,0.02484139186119272,0.027369904149644252,0.0016349802518848178,0.22812551457533317,0.23068666666666668,0.08538505196863919
