budget,metric,contrast,estimate,ci_95_lower,ci_95_upper,replicates,scheme
0,macro_f1,linear,0.11223088363457531,0.061166882460495876,0.16200529817788056,10000,PAIRED_TAGID_BLOCK_X_SOURCE_X_SUPPORT
0,macro_f1,prototype,0.11223088363457531,0.061166882460495876,0.16200529817788056,10000,PAIRED_TAGID_BLOCK_X_SOURCE_X_SUPPORT
0,macro_f1,linear_minus_prototype,0.0,0.0,0.0,10000,PAIRED_TAGID_BLOCK_X_SOURCE_X_SUPPORT
0,macro_f1,linear_minus_zero,0.0,0.0,0.0,10000,PAIRED_TAGID_BLOCK_X_SOURCE_X_SUPPORT
7,macro_f1,linear,0.12668711884666103,0.08486761948963834,0.1667701908098296,10000,PAIRED_TAGID_BLOCK_X_SOURCE_X_SUPPORT
7,macro_f1,prototype,0.12710312787047973,0.09980072420303378,0.15207010960560843,10000,PAIRED_TAGID_BLOCK_X_SOURCE_X_SUPPORT
7,macro_f1,linear_minus_prototype,-0.000416009023818692,-0.04543966802055604,0.04594717864814397,10000,PAIRED_TAGID_BLOCK_X_SOURCE_X_SUPPORT
7,macro_f1,linear_minus_zero,0.014456235212085722,-0.03327288694084656,0.06805708648746064,10000,PAIRED_TAGID_BLOCK_X_SOURCE_X_SUPPORT
10,macro_f1,linear,0.12612724052014962,0.08619979551222566,0.16300965121168512,10000,PAIRED_TAGID_BLOCK_X_SOURCE_X_SUPPORT
10,macro_f1,prototype,0.130599968499339,0.10218598439513282,0.15488314702184178,10000,PAIRED_TAGID_BLOCK_X_SOURCE_X_SUPPORT
10,macro_f1,linear_minus_prototype,-0.004472727979189378,-0.046344780947253014,0.039559402848997144,10000,PAIRED_TAGID_BLOCK_X_SOURCE_X_SUPPORT
10,macro_f1,linear_minus_zero,0.013896356885574307,-0.029999104006799154,0.06150083814566627,10000,PAIRED_TAGID_BLOCK_X_SOURCE_X_SUPPORT
20,macro_f1,linear,0.13637318850259242,0.0821530726900315,0.18911594192825487,10000,PAIRED_TAGID_BLOCK_X_SOURCE_X_SUPPORT
20,macro_f1,prototype,0.13556003588968646,0.09952233729162939,0.1674050138053344,10000,PAIRED_TAGID_BLOCK_X_SOURCE_X_SUPPORT
20,macro_f1,linear_minus_prototype,0.0008131526129059596,-0.058425132065507965,0.06373871905105241,10000,PAIRED_TAGID_BLOCK_X_SOURCE_X_SUPPORT
20,macro_f1,linear_minus_zero,0.024142304868017106,-0.022942283533407434,0.07818204473105907,10000,PAIRED_TAGID_BLOCK_X_SOURCE_X_SUPPORT
21,macro_f1,linear,0.13741805040974964,0.08040886901842537,0.19244716205923845,10000,PAIRED_TAGID_BLOCK_X_SOURCE_X_SUPPORT
