budget,factor,level,rows_per_unit,prototype_macro_f1_mean,prototype_macro_f1_sd,linear_macro_f1_mean,linear_macro_f1_sd,linear_minus_prototype_macro_f1
7,ER,0,1050,0.12160454279687075,0.06302696417472067,0.09045965373549907,0.05396386486366526,-0.03114488906137168
7,ER,1,1050,0.12225920553379895,0.05100681675584735,0.11730323429973702,0.04993290435273322,-0.004955971234061926
7,ER,2,1050,0.1131769157364051,0.05245193873674473,0.1340962769711087,0.048811298575801104,0.0209193612347036
7,surface,0,1050,0.11793338438113846,0.06663677943876649,0.11929744995158227,0.0598964780134553,0.0013640655704438148
7,surface,1,1050,0.1413050097105861,0.06475159275086449,0.13646562915205218,0.05357240815656265,-0.004839380558533918
7,surface,2,1050,0.09963655974002722,0.05093358925591276,0.09410898459760693,0.05753254343740581,-0.005527575142420291
35,ER,0,1050,0.12546323380183805,0.06353757836674395,0.08844402193454096,0.0320374667172983,-0.03701921186729709
35,ER,1,1050,0.10469675399708565,0.047014808265477555,0.10494373281048838,0.04721389909873143,0.000246978813402729
35,ER,2,1050,0.11421079927252081,0.043632916743250615,0.1870836066043497,0.04422012291005746,0.07287280733182888
35,surface,0,1050,0.15860542997050195,0.05897357395654851,0.13032067573798123,0.06434152887710876,-0.02828475423252072
35,surface,1,1050,0.1031768800700232,0.059148844903962015,0.15754081248530344,0.04019524220842462,0.054363932415280244
35,surface,2,1050,0.06885037891720429,0.042430610151877976,0.11639300378945604,0.046495147703787855,0.04754262487225175
100,ER,0,1050,0.11408032182803743,0.05683023874203364,0.08563563811196563,0.03353659321829585,-0.028444683716071797
100,ER,1,1050,0.08193151467874793,0.04459153304568361,0.10684731172767835,0.04220795618443241,0.02491579704893042
100,ER,2,1050,0.12137581774517335,0.044751508837591505,0.18913090160090754,0.036848464806124595,0.06775508385573419
100,surface,0,1050,0.14064656474572657,0.05501231103292411,0.1317441357640587,0.07454177407217658,-0.008902428981667876
100,surface,1,1050,0.09894535952640249,0.06082505788561205,0.15918284975098682,0.0339761558098078,0.06023749022458433
100,surface,2,1050,0.060324168952700034,0.03214235323231944,0.11342940036348952,0.04918154219854309,0.05310523141078948
500,ER,0,1050,0.11398805979663021,0.049672092896055786,0.08686632473063809,0.03829667393991838,-0.027121735065992122
500,ER,1,1050,0.05939588482296088,0.04677917526241341,0.10760231249374756,0.0391918071894433,0.04820642767078668
500,ER,2,1050,0.12267882989784501,0.030920950781767258,0.18419553023867752,0.035627557221379245,0.06151670034083251
500,surface,0,1050,0.144254128545468,0.04290519325368799,0.13098029019601992,0.08212882052173283,-0.013273838349448092
500,surface,1,1050,0.07583614443756079,0.04675407276818024,0.1591834930666138,0.027359345991770558,0.08334734862905302
500,surface,2,1050,0.05901877211068885,0.025255591846161968,0.11409299126229357,0.06359591243247564,0.055074219151604716
