budget,block_index,TagID,ER,surface,rows_per_unit,prototype_accuracy_mean,linear_accuracy_mean,linear_minus_prototype_accuracy,linear_accuracy_sd
7,0,1,0,0,50,0.0,0.0334,0.0334,0.16824837339931448
7,1,1,0,1,50,0.19,0.0,-0.19,0.0
7,2,1,0,2,50,0.04,0.07,0.030000000000000006,0.25643239997624273
7,3,1,1,0,50,0.0882,0.0,-0.0882,0.0
7,4,1,1,1,50,0.34759999999999996,0.09,-0.25759999999999994,0.2876234912646614
7,5,1,1,2,50,0.09000000000000002,0.0036,-0.08640000000000002,0.014320995394556515
7,6,1,2,0,50,0.0776,0.0,-0.0776,0.0
7,7,1,2,1,50,0.1978,0.07980000000000001,-0.118,0.21920877000814734
7,8,1,2,2,50,0.0044,0.17579999999999998,0.1714,0.36285395119660746
7,9,2,0,0,50,0.1434,0.5539999999999999,0.41059999999999997,0.4900752364420563
7,10,2,0,1,50,0.07,0.0,-0.07,0.0
7,11,2,0,2,50,0.06120000000000001,0.24679999999999996,0.18559999999999996,0.3844683591557557
7,12,2,1,0,50,0.0,0.18,0.18,0.38612291966536916
7,13,2,1,1,50,0.08,0.04,-0.04,0.19694638556693236
7,14,2,1,2,50,0.111,0.0686,-0.04240000000000001,0.2513037519767179
7,15,2,2,0,50,0.0542,0.0,-0.0542,0.0
7,16,2,2,1,50,0.2618,0.06,-0.20179999999999998,0.238683256575942
7,17,2,2,2,50,0.0392,0.114,0.0748,0.29733496398520104
7,18,3,0,0,50,0.0824,0.26,0.1776,0.4408440022768081
7,19,3,0,1,50,0.1666,0.0,-0.1666,0.0
7,20,3,0,2,50,0.113,0.09200000000000001,-0.02099999999999999,0.23912297668730623
7,21,3,1,0,50,0.2,0.25,0.04999999999999999,0.4351941398892446
7,22,3,1,1,50,0.25,0.46,0.21000000000000002,0.5009082659620331
7,23,3,1,2,50,0.24600000000000005,0.087,-0.15900000000000006,0.2408130168635182
7,24,3,2,0,50,0.0,0.0,0.0,0.0
7,25,3,2,1,50,0.32,0.6708,0.35079999999999995,0.4657863558466792
7,26,3,2,2,50,0.442,0.20120000000000002,-0.2408,0.3762743465058226
7,27,4,0,0,50,0.1604,0.20559999999999998,0.04519999999999999,0.3766635022661393
7,28,4,0,1,50,0.14379999999999998,0.3134,0.16960000000000003,0.3586963488900754
7,29,4,0,2,50,0.1492,0.07339999999999999,-0.0758,0.24415684642574667
7,30,4,1,0,50,0.16899999999999998,0.13340000000000005,-0.03559999999999994,0.2655895671554479
7,31,4,1,1,50,0.07919999999999999,0.0,-0.07919999999999999,0.0
7,32,4,1,2,50,0.09399999999999999,0.0054,-0.08859999999999998,0.008923920866769476
7,33,4,2,0,50,0.12,0.0,-0.12,0.0
7,34,4,2,1,50,0.20040000000000002,0.2518,0.0514,0.42184869708501316
7,35,4,2,2,50,0.023200000000000002,0.05,0.0268,0.2190429135575903
7,36,5,0,0,50,0.15,0.05,-0.09999999999999999,0.2190429135575903
7,37,5,0,1,50,0.08,0.0,-0.08,0.0
7,38,5,0,2,50,0.05,0.0,-0.05,0.0
7,39,5,1,0,50,0.1176,0.0412,-0.0764,0.19100626675424537
7,40,5,1,1,50,0.05,0.1246,0.0746,0.29434886193979504
7,41,5,1,2,50,0.1484,0.162,0.013600000000000001,0.35031299136513894
7,42,5,2,0,50,0.04,0.0,-0.04,0.0
7,43,5,2,1,50,0.0898,0.5136,0.42379999999999995,0.470348076568102
7,44,5,2,2,50,0.094,0.1298,0.0358,0.32277202136767946
7,45,6,0,0,50,0.357,0.1396,-0.21739999999999998,0.3456392701220523
7,46,6,0,1,50,0.13480000000000003,0.0258,-0.10900000000000003,0.03438287099969719
7,47,6,0,2,50,0.25680000000000003,0.1476,-0.10920000000000002,0.3531420866072654
7,48,6,1,0,50,0.3518,0.07340000000000002,-0.2784,0.16730918575010648
7,49,6,1,1,50,0.15940000000000001,0.54,0.38060000000000005,0.5009082659620331
7,50,6,1,2,50,0.1482,0.049,-0.0992,0.21466205528643845
7,51,6,2,0,50,0.18760000000000002,0.0018,-0.18580000000000002,0.010286796479865913
7,52,6,2,1,50,0.2482,0.0,-0.2482,0.0
7,53,6,2,2,50,0.06,0.0,-0.06,0.0
7,54,7,0,0,50,0.3,0.06,-0.24,0.238683256575942
7,55,7,0,1,50,0.15280000000000002,0.0,-0.15280000000000002,0.0
7,56,7,0,2,50,0.1822,0.072,-0.1102,0.24242878783617502
7,57,7,1,0,50,0.06,0.47,0.41,0.5016135580465918
7,58,7,1,1,50,0.22460000000000002,0.018799999999999997,-0.20580000000000004,0.1322629764881123
7,59,7,1,2,50,0.06,0.02,-0.039999999999999994,0.14070529413628965
7,60,7,2,0,50,0.29100000000000004,0.4188,0.12779999999999997,0.49376574006365215
7,61,7,2,1,50,0.0408,0.2168,0.176,0.41029893019749897
7,62,7,2,2,50,0.0106,0.40179999999999993,0.39119999999999994,0.48442484901523614
35,0,1,0,0,50,0.01,0.0,-0.01,0.0
35,1,1,0,1,50,0.03,0.0,-0.03,0.0
35,2,1,0,2,50,0.0212,0.0,-0.0212,0.0
35,3,1,1,0,50,0.0,0.0,0.0,0.0
35,4,1,1,1,50,0.1298,0.0,-0.1298,0.0
35,5,1,1,2,50,0.008400000000000001,0.0,-0.008400000000000001,0.0
35,6,1,2,0,50,0.0,0.0,0.0,0.0
35,7,1,2,1,50,0.064,0.2256,0.1616,0.40348061423147213
35,8,1,2,2,50,0.0,0.47540000000000004,0.47540000000000004,0.4595461529233671
35,9,2,0,0,50,0.3764,0.8546000000000002,0.47820000000000024,0.34608173262477415
35,10,2,0,1,50,0.02,0.0,-0.02,0.0
35,11,2,0,2,50,0.0028000000000000004,0.3499999999999999,0.3471999999999999,0.39713621305185925
35,12,2,1,0,50,0.06,0.19,0.13,0.3942772444036625
35,13,2,1,1,50,0.20620000000000002,0.0,-0.20620000000000002,0.0
35,14,2,1,2,50,0.006200000000000001,0.0,-0.006200000000000001,0.0
35,15,2,2,0,50,0.0,0.0,0.0,0.0
35,16,2,2,1,50,0.16519999999999999,0.0,-0.16519999999999999,0.0
35,17,2,2,2,50,0.0434,0.06780000000000001,0.024400000000000012,0.20755225701962238
35,18,3,0,0,50,0.161,0.0218,-0.1392,0.14082283446611457
35,19,3,0,1,50,0.0,0.0,0.0,0.0
35,20,3,0,2,50,0.0554,0.11780000000000002,0.06240000000000002,0.22000725424219975
35,21,3,1,0,50,0.09,0.3096,0.2196,0.4642315688263235
35,22,3,1,1,50,0.19820000000000002,0.403,0.2048,0.4884556160890045
35,23,3,1,2,50,0.0302,0.0108,-0.0194,0.03451481895175936
35,24,3,2,0,50,0.0,0.0,0.0,0.0
35,25,3,2,1,50,0.04939999999999999,0.9,0.8506,0.30151134457776363
35,26,3,2,2,50,0.4749999999999999,0.0166,-0.4583999999999999,0.042168972268982585
35,27,4,0,0,50,0.26739999999999997,0.12359999999999999,-0.14379999999999998,0.29963452485461095
35,28,4,0,1,50,0.2612,0.2419999999999999,-0.019200000000000078,0.30151804475541977
35,29,4,0,2,50,0.2634,0.0,-0.2634,0.0
35,30,4,1,0,50,0.19579999999999997,0.054799999999999995,-0.141,0.041352879054070785
35,31,4,1,1,50,0.0126,0.0,-0.0126,0.0
35,32,4,1,2,50,0.007000000000000001,0.005600000000000001,-0.0014000000000000002,0.00902521719708426
35,33,4,2,0,50,0.11,0.0,-0.11,0.0
35,34,4,2,1,50,0.10460000000000001,0.0882,-0.016400000000000012,0.2818710214393681
35,35,4,2,2,50,0.0,0.0,0.0,0.0
35,36,5,0,0,50,0.05,0.156,0.106,0.36134429145857133
35,37,5,0,1,50,0.02,0.0,-0.02,0.0
35,38,5,0,2,50,0.0,0.0,0.0,0.0
35,39,5,1,0,50,0.0822,0.0,-0.0822,0.0
35,40,5,1,1,50,0.0,0.06200000000000001,0.06200000000000001,0.19091486282760922
35,41,5,1,2,50,0.12,0.17420000000000002,0.054200000000000026,0.3510249926352046
35,42,5,2,0,50,0.06,0.0,-0.06,0.0
35,43,5,2,1,50,0.0,0.7622000000000001,0.7622000000000001,0.38438086121013687
35,44,5,2,2,50,0.0092,0.0378,0.0286,0.18509937271038432
35,45,6,0,0,50,0.45519999999999994,0.0,-0.45519999999999994,0.0
35,46,6,0,1,50,0.2614,0.022199999999999998,-0.23920000000000002,0.029114195225634576
35,47,6,0,2,50,0.3038,0.254,-0.04980000000000001,0.42524859039903196
35,48,6,1,0,50,0.33620000000000005,0.04899999999999999,-0.28720000000000007,0.030268161757226287
35,49,6,1,1,50,0.0,0.7646000000000001,0.7646000000000001,0.42343334538011773
35,50,6,1,2,50,0.4168,0.0392,-0.3776,0.1930074578555937
35,51,6,2,0,50,0.7981999999999999,0.0,-0.7981999999999999,0.0
35,52,6,2,1,50,0.2658,0.0,-0.2658,0.0
35,53,6,2,2,50,0.0,0.0,0.0,0.0
35,54,7,0,0,50,0.45380000000000004,0.04,-0.41380000000000006,0.19694638556693236
35,55,7,0,1,50,0.0,0.0,0.0,0.0
35,56,7,0,2,50,0.047400000000000005,0.005,-0.04240000000000001,0.008703882797784892
35,57,7,1,0,50,0.04,0.44780000000000003,0.40780000000000005,0.49803569706955303
35,58,7,1,1,50,0.5496,0.0,-0.5496,0.0
35,59,7,1,2,50,0.0,0.0,0.0,0.0
35,60,7,2,0,50,0.48120000000000007,0.77,0.28879999999999995,0.42295258468165076
35,61,7,2,1,50,0.0698,0.1984,0.1286,0.39245078183336085
