dataset_label,domain_kind,held_out_domain,seed_count,mean_test_accuracy,std_test_accuracy,min_test_accuracy,max_test_accuracy,selected_dropouts,zero_recall_class_counts,missing_predicted_class_counts,best_epochs
paper3,leave_position,P1,3,0.30680555555555555,0.012473737844065393,0.2891666666666667,0.31583333333333335,"{""42"": 0.1, ""43"": 0.1, ""44"": 0.1}","{""42"": 0, ""43"": 0, ""44"": 0}","{""42"": 0, ""43"": 0, ""44"": 0}","{""42"": 32, ""43"": 38, ""44"": 26}"
paper3,leave_position,P2,3,0.22777777777777777,0.0013749298523071814,0.22583333333333333,0.22875,"{""42"": 0.1, ""43"": 0.1, ""44"": 0.1}","{""42"": 1, ""43"": 1, ""44"": 0}","{""42"": 1, ""43"": 1, ""44"": 0}","{""42"": 30, ""43"": 46, ""44"": 38}"
paper3,leave_position,P3,3,0.39319444444444446,0.007057414453284726,0.3854166666666667,0.4025,"{""42"": 0.1, ""43"": 0.1, ""44"": 0.1}","{""42"": 0, ""43"": 0, ""44"": 0}","{""42"": 0, ""43"": 0, ""44"": 0}","{""42"": 46, ""43"": 49, ""44"": 48}"
paper3,leave_position,P4,3,0.35430555555555554,0.026519414039296838,0.32,0.38458333333333333,"{""42"": 0.1, ""43"": 0.1, ""44"": 0.1}","{""42"": 0, ""43"": 0, ""44"": 0}","{""42"": 0, ""43"": 0, ""44"": 0}","{""42"": 50, ""43"": 45, ""44"": 49}"
paper3,leave_surface,BEND1,3,0.4779513888888889,0.026167519964265765,0.4453125,0.509375,"{""42"": 0.1, ""43"": 0.1, ""44"": 0.1}","{""42"": 0, ""43"": 0, ""44"": 0}","{""42"": 0, ""43"": 0, ""44"": 0}","{""42"": 44, ""43"": 48, ""44"": 36}"
paper3,leave_surface,BEND2,3,0.12586805555555555,0.005773711509831903,0.11927083333333334,0.13333333333333333,"{""42"": 0.1, ""43"": 0.1, ""44"": 0.1}","{""42"": 2, ""43"": 4, ""44"": 4}","{""42"": 0, ""43"": 1, ""44"": 1}","{""42"": 49, ""43"": 38, ""44"": 31}"
paper3,leave_surface,CYLINDER_BIG,3,0.4456597222222222,0.08890482441793558,0.3802083333333333,0.5713541666666667,"{""42"": 0.1, ""43"": 0.1, ""44"": 0.1}","{""42"": 0, ""43"": 0, ""44"": 0}","{""42"": 0, ""43"": 0, ""44"": 0}","{""42"": 8, ""43"": 47, ""44"": 8}"
paper3,leave_surface,CYLINDER_SMALL,3,0.20399305555555555,0.014157557665191053,0.19270833333333334,0.22395833333333334,"{""42"": 0.1, ""43"": 0.1, ""44"": 0.1}","{""42"": 0, ""43"": 0, ""44"": 0}","{""42"": 0, ""43"": 0, ""44"": 0}","{""42"": 31, ""43"": 48, ""44"": 32}"
paper3,leave_surface,PLANAR,3,0.3935763888888889,0.022827055435963323,0.3619791666666667,0.41510416666666666,"{""42"": 0.1, ""43"": 0.1, ""44"": 0.1}","{""42"": 0, ""43"": 0, ""44"": 0}","{""42"": 0, ""43"": 0, ""44"": 0}","{""42"": 50, ""43"": 44, ""44"": 50}"
paper4,leave_position,P1,3,0.8518518518518519,0.032358466446573995,0.8098412698412698,0.8885714285714286,"{""42"": 0.3, ""43"": 0.3, ""44"": 0.0}","{""42"": 0, ""43"": 0, ""44"": 0}","{""42"": 0, ""43"": 0, ""44"": 0}","{""42"": 5, ""43"": 7, ""44"": 3}"
paper4,leave_position,P2,3,0.8088888888888889,0.02200040464747693,0.7930158730158731,0.84,"{""42"": 0.0, ""43"": 0.3, ""44"": 0.0}","{""42"": 0, ""43"": 0, ""44"": 0}","{""42"": 0, ""43"": 0, ""44"": 0}","{""42"": 4, ""43"": 6, ""44"": 6}"
paper4,leave_position,P3,3,0.7277248677248678,0.007259290110536511,0.7174603174603175,0.733015873015873,"{""42"": 0.0, ""43"": 0.3, ""44"": 0.3}","{""42"": 0, ""43"": 0, ""44"": 0}","{""42"": 0, ""43"": 0, ""44"": 0}","{""42"": 8, ""43"": 5, ""44"": 7}"
paper4,leave_position,P4,3,0.3185185185185185,0.012981845657550579,0.30317460317460315,0.3349206349206349,"{""42"": 0.0, ""43"": 0.0, ""44"": 0.3}","{""42"": 4, ""43"": 3, ""44"": 4}","{""42"": 4, ""43"": 2, ""44"": 3}","{""42"": 4, ""43"": 5, ""44"": 4}"
paper4,leave_surface_case,BEND1,3,0.758015873015873,0.031048893082569157,0.7147619047619047,0.7861904761904762,"{""42"": 0.0, ""43"": 0.0, ""44"": 0.0}","{""42"": 0, ""43"": 0, ""44"": 0}","{""42"": 0, ""43"": 0, ""44"": 0}","{""42"": 5, ""43"": 4, ""44"": 5}"
paper4,leave_surface_case,BEND2,3,0.6667460317460318,0.03304714636076878,0.6226190476190476,0.7021428571428572,"{""42"": 0.0, ""43"": 0.0, ""44"": 0.0}","{""42"": 0, ""43"": 0, ""44"": 0}","{""42"": 0, ""43"": 0, ""44"": 0}","{""42"": 5, ""43"": 6, ""44"": 4}"
paper4,leave_surface_case,PLANAR,3,0.7867460317460317,0.00894328593502954,0.7757142857142857,0.7976190476190477,"{""42"": 0.0, ""43"": 0.3, ""44"": 0.3}","{""42"": 0, ""43"": 0, ""44"": 0}","{""42"": 0, ""43"": 0, ""44"": 0}","{""42"": 5, ""43"": 4, ""44"": 4}"
