band,position,sample_count,frequency_mean_ghz,frequency_population_sd_ghz,frequency_median_ghz,conditional_axis_low_ghz,conditional_axis_high_ghz
Lc,ALL,12600,5.339763605442176,0.0625579614388268,5.3428571428571425,5.1,5.745
Lc,P1,3150,5.341023809523809,0.03689515674872238,5.3428571428571425,5.1,5.745
Lc,P2,3150,5.327687074829931,0.04148360452290825,5.332142857142857,5.1,5.745
Lc,P3,3150,5.351520408163265,0.031175680472038288,5.3428571428571425,5.1,5.745
Lc,P4,3150,5.3388231292517005,0.10636442759336032,5.3428571428571425,5.1,5.745
L3,ALL,12600,6.017122448979591,0.14831379602314645,6.007142857142857,5.8,6.35
L3,P1,3150,6.0363639455782305,0.14119063060773562,6.017857142857142,5.8,6.35
L3,P2,3150,5.987598639455782,0.1127098894588331,5.985714285714286,5.8,6.35
L3,P3,3150,6.021057823129251,0.12833224562356485,6.017857142857142,5.8,6.35
L3,P4,3150,6.023469387755102,0.19386280824720103,6.017857142857142,5.8,6.35
L2,ALL,12600,6.685497448979592,0.13185952247358432,6.671428571428572,6.45,6.95
L2,P1,3150,6.679431972789115,0.1214233711895499,6.682142857142857,6.45,6.95
L2,P2,3150,6.734207482993197,0.13009061356600465,6.714285714285714,6.45,6.95
L2,P3,3150,6.648724489795919,0.11630398322479127,6.639285714285714,6.45,6.95
L2,P4,3150,6.679625850340136,0.14337967684490235,6.671428571428572,6.45,6.95
L1,ALL,12600,7.4775144557823126,0.1754212714666163,7.517857142857142,7.05,7.7
L1,P1,3150,7.51915306122449,0.15655466415804312,7.571428571428571,7.05,7.7
L1,P2,3150,7.39423469387755,0.19029734755717687,7.4,7.05,7.7
L1,P3,3150,7.4946462585034,0.18476433190975877,7.571428571428571,7.05,7.7
L1,P4,3150,7.502023809523809,0.13662609171560078,7.507142857142857,7.05,7.7
