position,fold,tag_id,er,surface,block_token,split,repeat_count
P1,0,1,0,A1,BLOCK-2825523bbf189840,test,50
P1,0,1,0,A2,BLOCK-7b236b3a3ea38df3,validation,50
P1,0,1,0,A3,BLOCK-f1b3925eed2d442a,train,50
P1,0,1,1,A1,BLOCK-a210832939b5a8fb,train,50
P1,0,1,1,A2,BLOCK-df76ab464a03bc2e,test,50
P1,0,1,1,A3,BLOCK-84bb5161a05bc393,validation,50
P1,0,1,2,A1,BLOCK-5b551154547c4017,validation,50
P1,0,1,2,A2,BLOCK-b6a915f5e7d1e114,train,50
P1,0,1,2,A3,BLOCK-53aff3f1935e0b45,test,50
P1,0,2,0,A1,BLOCK-95a6b5725b5b2792,test,50
P1,0,2,0,A2,BLOCK-fd5febce5f31bbd1,validation,50
P1,0,2,0,A3,BLOCK-ba21e289bb8e24df,train,50
P1,0,2,1,A1,BLOCK-29595bd9dbd711f8,train,50
P1,0,2,1,A2,BLOCK-bd5dfff97d855a1d,test,50
P1,0,2,1,A3,BLOCK-66c76ab3061ab56c,validation,50
P1,0,2,2,A1,BLOCK-5b5a4ae7d220a081,validation,50
P1,0,2,2,A2,BLOCK-ed93dc9b7f7d8c23,train,50
P1,0,2,2,A3,BLOCK-e8a3ef00310055ed,test,50
P1,0,3,0,A1,BLOCK-0d263f8455b9e6e1,test,50
P1,0,3,0,A2,BLOCK-2e3300107cb4569a,validation,50
P1,0,3,0,A3,BLOCK-c7f1a4c78fbecd52,train,50
P1,0,3,1,A1,BLOCK-1e494e301fc98fc7,train,50
P1,0,3,1,A2,BLOCK-7a8e479323b884c1,test,50
P1,0,3,1,A3,BLOCK-2f3a3bbdac800702,validation,50
P1,0,3,2,A1,BLOCK-3b332170c7da8b29,validation,50
P1,0,3,2,A2,BLOCK-cb02c17a69aa12bf,train,50
P1,0,3,2,A3,BLOCK-7dfa257fa7d6b8b9,test,50
P1,0,4,0,A1,BLOCK-4cd51a818715dc26,test,50
P1,0,4,0,A2,BLOCK-68b2bc7be6bd1e2e,validation,50
P1,0,4,0,A3,BLOCK-d8494c431d49153b,train,50
P1,0,4,1,A1,BLOCK-e80f2ec3b2c546e6,train,50
P1,0,4,1,A2,BLOCK-a07ca407e2615fa3,test,50
P1,0,4,1,A3,BLOCK-009dce14e77dadff,validation,50
P1,0,4,2,A1,BLOCK-ac537239fdff73ba,validation,50
P1,0,4,2,A2,BLOCK-9bdb76c9bbfbea61,train,50
P1,0,4,2,A3,BLOCK-a8afdc9a4a480579,test,50
P1,0,5,0,A1,BLOCK-f19c8eb0c0b1d306,test,50
P1,0,5,0,A2,BLOCK-3e651e3730ca3abc,validation,50
P1,0,5,0,A3,BLOCK-5e5234f35b341ffe,train,50
P1,0,5,1,A1,BLOCK-2b44e2d29ba4b598,train,50
P1,0,5,1,A2,BLOCK-ab456e66cd53f4f8,test,50
P1,0,5,1,A3,BLOCK-a928adeb5498f022,validation,50
P1,0,5,2,A1,BLOCK-e2b74d00e96cb297,validation,50
P1,0,5,2,A2,BLOCK-72d5f2dea6e0b2a8,train,50
P1,0,5,2,A3,BLOCK-6f6552f23ee25a73,test,50
P1,0,6,0,A1,BLOCK-5312891fb21a4aac,test,50
P1,0,6,0,A2,BLOCK-ebae4fbb0bd2da3f,validation,50
P1,0,6,0,A3,BLOCK-44b4c2da3ce5edb9,train,50
P1,0,6,1,A1,BLOCK-3aa7e357b8e2466f,train,50
P1,0,6,1,A2,BLOCK-c5048698f86042c4,test,50
P1,0,6,1,A3,BLOCK-287375a81cb3c67c,validation,50
P1,0,6,2,A1,BLOCK-28bd17736aea1dd4,validation,50
P1,0,6,2,A2,BLOCK-fbabc010fd4dd493,train,50
P1,0,6,2,A3,BLOCK-7c051d97b2609582,test,50
P1,0,7,0,A1,BLOCK-4b0fd6eb8b9647fd,test,50
P1,0,7,0,A2,BLOCK-b29ecad77cbb8230,validation,50
P1,0,7,0,A3,BLOCK-35f3834c5cae085e,train,50
P1,0,7,1,A1,BLOCK-ccdecb688c2fec97,train,50
P1,0,7,1,A2,BLOCK-23e5dbd2f4526010,test,50
P1,0,7,1,A3,BLOCK-255ae3e956c0997b,validation,50
P1,0,7,2,A1,BLOCK-149d5b239f0cc48f,validation,50
P1,0,7,2,A2,BLOCK-949e909354b73fab,train,50
P1,0,7,2,A3,BLOCK-37cc9aa64464ebd5,test,50
P1,1,1,0,A1,BLOCK-2825523bbf189840,train,50
P1,1,1,0,A2,BLOCK-7b236b3a3ea38df3,test,50
P1,1,1,0,A3,BLOCK-f1b3925eed2d442a,validation,50
P1,1,1,1,A1,BLOCK-a210832939b5a8fb,validation,50
P1,1,1,1,A2,BLOCK-df76ab464a03bc2e,train,50
P1,1,1,1,A3,BLOCK-84bb5161a05bc393,test,50
P1,1,1,2,A1,BLOCK-5b551154547c4017,test,50
P1,1,1,2,A2,BLOCK-b6a915f5e7d1e114,validation,50
P1,1,1,2,A3,BLOCK-53aff3f1935e0b45,train,50
P1,1,2,0,A1,BLOCK-95a6b5725b5b2792,train,50
P1,1,2,0,A2,BLOCK-fd5febce5f31bbd1,test,50
P1,1,2,0,A3,BLOCK-ba21e289bb8e24df,validation,50
P1,1,2,1,A1,BLOCK-29595bd9dbd711f8,validation,50
P1,1,2,1,A2,BLOCK-bd5dfff97d855a1d,train,50
P1,1,2,1,A3,BLOCK-66c76ab3061ab56c,test,50
P1,1,2,2,A1,BLOCK-5b5a4ae7d220a081,test,50
P1,1,2,2,A2,BLOCK-ed93dc9b7f7d8c23,validation,50
P1,1,2,2,A3,BLOCK-e8a3ef00310055ed,train,50
P1,1,3,0,A1,BLOCK-0d263f8455b9e6e1,train,50
P1,1,3,0,A2,BLOCK-2e3300107cb4569a,test,50
P1,1,3,0,A3,BLOCK-c7f1a4c78fbecd52,validation,50
P1,1,3,1,A1,BLOCK-1e494e301fc98fc7,validation,50
P1,1,3,1,A2,BLOCK-7a8e479323b884c1,train,50
P1,1,3,1,A3,BLOCK-2f3a3bbdac800702,test,50
P1,1,3,2,A1,BLOCK-3b332170c7da8b29,test,50
P1,1,3,2,A2,BLOCK-cb02c17a69aa12bf,validation,50
P1,1,3,2,A3,BLOCK-7dfa257fa7d6b8b9,train,50
P1,1,4,0,A1,BLOCK-4cd51a818715dc26,train,50
P1,1,4,0,A2,BLOCK-68b2bc7be6bd1e2e,test,50
P1,1,4,0,A3,BLOCK-d8494c431d49153b,validation,50
P1,1,4,1,A1,BLOCK-e80f2ec3b2c546e6,validation,50
P1,1,4,1,A2,BLOCK-a07ca407e2615fa3,train,50
