position,representation,probe_seed,checkpoint_seed,train_accuracy,train_macro_f1,final_loss,optimization_steps,pass,status,subset_size,subset_hash,scaler_state_sha256
P1,RAW_SIGNAL_281,42,,1.0,1.0,0.9531057476997375,2,True,PASS,7,9db4d679fdec3da01b6a7eb8b616e977031f4880324173e1a4b394f5f8609900,eec36d363090d6b58fc81143092b8ccc2f4c140a893b8f8529557580e5da4d0e
P1,RAW_SIGNAL_281,43,,1.0,1.0,1.7997171878814697,1,True,PASS,7,9db4d679fdec3da01b6a7eb8b616e977031f4880324173e1a4b394f5f8609900,eec36d363090d6b58fc81143092b8ccc2f4c140a893b8f8529557580e5da4d0e
P1,RAW_SIGNAL_281,44,,1.0,1.0,0.7746276259422302,2,True,PASS,7,9db4d679fdec3da01b6a7eb8b616e977031f4880324173e1a4b394f5f8609900,eec36d363090d6b58fc81143092b8ccc2f4c140a893b8f8529557580e5da4d0e
P1,RAW_SIGNAL_281,45,,1.0,1.0,0.715569794178009,2,True,PASS,7,9db4d679fdec3da01b6a7eb8b616e977031f4880324173e1a4b394f5f8609900,eec36d363090d6b58fc81143092b8ccc2f4c140a893b8f8529557580e5da4d0e
P1,RAW_SIGNAL_281,46,,1.0,1.0,0.5728963017463684,2,True,PASS,7,9db4d679fdec3da01b6a7eb8b616e977031f4880324173e1a4b394f5f8609900,eec36d363090d6b58fc81143092b8ccc2f4c140a893b8f8529557580e5da4d0e
P1,FIRST_DIFFERENCE_280,42,,1.0,1.0,0.9459159970283508,2,True,PASS,7,9db4d679fdec3da01b6a7eb8b616e977031f4880324173e1a4b394f5f8609900,36696a84bdecfdadeb2db3c71a517dbbdf201da7dd5aec877641ad774bbd4bb1
P1,FIRST_DIFFERENCE_280,43,,1.0,1.0,0.39468589425086975,3,True,PASS,7,9db4d679fdec3da01b6a7eb8b616e977031f4880324173e1a4b394f5f8609900,36696a84bdecfdadeb2db3c71a517dbbdf201da7dd5aec877641ad774bbd4bb1
P1,FIRST_DIFFERENCE_280,44,,1.0,1.0,0.5582631230354309,2,True,PASS,7,9db4d679fdec3da01b6a7eb8b616e977031f4880324173e1a4b394f5f8609900,36696a84bdecfdadeb2db3c71a517dbbdf201da7dd5aec877641ad774bbd4bb1
P1,FIRST_DIFFERENCE_280,45,,1.0,1.0,1.3331094980239868,1,True,PASS,7,9db4d679fdec3da01b6a7eb8b616e977031f4880324173e1a4b394f5f8609900,36696a84bdecfdadeb2db3c71a517dbbdf201da7dd5aec877641ad774bbd4bb1
P1,FIRST_DIFFERENCE_280,46,,1.0,1.0,1.0372250080108643,2,True,PASS,7,9db4d679fdec3da01b6a7eb8b616e977031f4880324173e1a4b394f5f8609900,36696a84bdecfdadeb2db3c71a517dbbdf201da7dd5aec877641ad774bbd4bb1
