position,representation,probe_seed,checkpoint_seed,folds_combined,oof_condition_blocks,oof_rows,block_accuracy,block_macro_f1,row_accuracy,row_macro_f1,block_confusion_matrix,block_prediction_sha256,row_prediction_sha256,estimand,block_accuracy_seed_variance,block_macro_f1_seed_variance,variance_role
P1,RAW_SIGNAL_281,42,,3,63,3150,0.5396825396825397,0.5396825396825397,0.5377777777777778,0.5375551541701212,"[[5,1,1,0,2,0,0],[1,5,2,0,0,0,1],[2,2,5,0,0,0,0],[0,0,1,4,3,1,0],[3,0,0,0,5,1,0],[0,1,0,1,0,6,1],[0,0,0,1,1,3,4]]",9bee8a558b679ab443e4e100b8e1f3108565e5f374f4527d501ab7ad551c1349,226a0495af1bdcc3f2ef30d1cdc4fb769ff81fcbb5508f6ac42c909507d1b334,one pooled 63-block out-of-fold set,,,
P1,RAW_SIGNAL_281,43,,3,63,3150,0.5238095238095238,0.5333587980646805,0.5241269841269841,0.5336808748081705,"[[5,1,2,0,1,0,0],[2,6,1,0,0,0,0],[2,3,3,0,0,0,1],[0,0,2,5,2,0,0],[2,0,2,1,3,1,0],[0,1,1,1,0,6,0],[0,0,2,1,0,1,5]]",e780d5c56227e15ef963cf422c1ed699f88a4ab446e4dadc2c45a3e59faf9278,32f962ce1262ad20ffbb59d6c157082e388c6f1842435c14f827d3aee11ab872,one pooled 63-block out-of-fold set,,,
P1,RAW_SIGNAL_281,44,,3,63,3150,0.5079365079365079,0.5070537305831423,0.5098412698412699,0.5089964922738307,"[[6,1,1,0,1,0,0],[1,7,1,0,0,0,0],[1,3,4,0,0,0,1],[1,1,1,5,1,0,0],[4,0,1,0,4,0,0],[0,0,4,0,0,2,3],[0,1,1,0,0,3,4]]",8a61b171a0abfdde5059448b025040cfaadd480b76466e65f7ff9ca32f147f3a,9f3a15409205e107d1379c7d900dd42628ac4f3dfba67d581507bfd6b0b0fa4a,one pooled 63-block out-of-fold set,,,
P1,RAW_SIGNAL_281,45,,3,63,3150,0.49206349206349204,0.49383694744106643,0.49174603174603176,0.4937860319156445,"[[5,1,1,0,2,0,0],[2,5,2,0,0,0,0],[2,2,4,0,0,0,1],[1,1,0,4,1,2,0],[3,0,1,0,3,1,1],[0,1,1,2,0,5,0],[1,0,0,1,0,2,5]]",b32f972b325ece15b33e31ae0f74f3f1c11383f8c1d310f78e3615dc32642e6b,74b75ce0d7784eecc9f3988a5bc8ce41b2a532e469ed03d6dd20735b6c5efa72,one pooled 63-block out-of-fold set,,,
P1,RAW_SIGNAL_281,46,,3,63,3150,0.5079365079365079,0.5220551378446115,0.5079365079365079,0.5220788712502239,"[[4,1,1,0,3,0,0],[1,5,3,0,0,0,0],[1,4,4,0,0,0,0],[1,1,1,6,0,0,0],[3,0,2,1,3,0,0],[0,0,2,1,0,5,1],[0,0,2,1,0,1,5]]",6daac92e62f956c43029e600b6484b49da3b667761789e7901b4e50352622fb1,9967cbc9f2e31edd6a31bf9ffdef8f0dfe10b09f948340938682f925b64111fa,one pooled 63-block out-of-fold set,,,
P1,FIRST_DIFFERENCE_280,42,,3,63,3150,0.3492063492063492,0.3391001312805824,0.35777777777777775,0.3473562661214708,"[[2,2,3,0,2,0,0],[3,2,2,0,0,2,0],[0,3,2,0,0,3,1],[1,1,1,3,0,1,2],[2,1,1,1,2,1,1],[0,0,0,1,0,7,1],[1,1,0,0,1,2,4]]",ab012bc188d2d57ad38c78f774e800895da3064e1dba7f2073cb91fc5010d278,ebbfaff4fbd1080347c006d5c6f998f7586b20aabf6f7da5e032d0d112cc2a5d,one pooled 63-block out-of-fold set,,,
P1,FIRST_DIFFERENCE_280,43,,3,63,3150,0.36507936507936506,0.3569592430273545,0.36603174603174604,0.35772939338655446,"[[2,1,2,1,3,0,0],[2,3,3,0,0,0,1],[0,2,5,0,0,1,1],[2,0,1,3,0,2,1],[3,0,1,1,1,1,2],[0,1,0,1,1,5,1],[1,1,1,0,1,1,4]]",ef94cf96b719447ddbd13f0fa0c48e9989d66e26de1ee62874c1726724045227,0f1d51e4259765c980816793b734fe290e727c7838d55b202428115ba42b1d69,one pooled 63-block out-of-fold set,,,
P1,FIRST_DIFFERENCE_280,44,,3,63,3150,0.3968253968253968,0.37535000504925314,0.40190476190476193,0.38067884115985334,"[[3,1,1,1,2,1,0],[2,2,4,0,0,1,0],[0,2,5,0,0,2,0],[0,2,1,2,1,2,1],[4,1,0,1,1,1,1],[0,0,0,0,0,7,2],[1,1,0,0,1,1,5]]",10d2a7b8181c212080b5ae679cca6676614872974a5e831f3bd593535a130b20,b42b8a958358fdb33cf90f4c6f177f2a4e9d6a23e1a68b6c6d9d407eb96f4d34,one pooled 63-block out-of-fold set,,,
P1,FIRST_DIFFERENCE_280,45,,3,63,3150,0.47619047619047616,0.4495241600504758,0.4723809523809524,0.4463831121505186,"[[5,1,2,0,1,0,0],[0,5,3,0,0,1,0],[1,2,5,0,0,1,0],[1,1,1,2,1,1,2],[2,0,2,0,1,1,3],[0,0,0,0,0,8,1],[1,2,0,0,1,1,4]]",5f3bb37ce8cc1ceec118d2d97de48f51241125307fcd837814bc216b3e430b7c,331d7c4811aaf71da1afa19fa0a9ff00254018bf6e73c83395e82216da9eb9b2,one pooled 63-block out-of-fold set,,,
P1,FIRST_DIFFERENCE_280,46,,3,63,3150,0.4126984126984127,0.38609878734102326,0.413968253968254,0.3869843809351609,"[[4,1,1,0,1,1,1],[1,1,3,2,0,2,0],[0,1,6,0,0,0,2],[2,0,2,2,1,1,1],[3,1,0,1,2,1,1],[0,0,0,0,0,7,2],[1,1,2,0,1,0,4]]",15df3fdbc100d4b7a6afbf96238c28a4a0dc303ce05c6af2b637a383ba1d8277,bdb01fbb7b18e88c87f99d46afd83511293e58e8e8ae08735d15b5dfe4d939e2,one pooled 63-block out-of-fold set,,,
