position,contrast,role,probe_seed,left_block_macro_f1,right_block_macro_f1,paired_difference,paired_difference_seed_variance
P1,C1_ENCODER_EMBEDDING_MINUS_FIRST_DIFFERENCE_280,PRIMARY,42,0.7928469938700117,0.3391001312805824,0.45374686258942926,
P1,C1_ENCODER_EMBEDDING_MINUS_FIRST_DIFFERENCE_280,PRIMARY,43,0.9035640572018281,0.3569592430273545,0.5466048141744736,
P1,C1_ENCODER_EMBEDDING_MINUS_FIRST_DIFFERENCE_280,PRIMARY,44,0.6646358543417366,0.37535000504925314,0.2892858492924834,
P1,C1_ENCODER_EMBEDDING_MINUS_FIRST_DIFFERENCE_280,PRIMARY,45,0.7121648659463785,0.4495241600504758,0.2626407058959027,
P1,C1_ENCODER_EMBEDDING_MINUS_FIRST_DIFFERENCE_280,PRIMARY,46,0.7427637721755369,0.38609878734102326,0.35666498483451364,
P1,C1_ENCODER_EMBEDDING_MINUS_FIRST_DIFFERENCE_280,PRIMARY,MEAN,0.7631951087070983,0.3814064653497378,0.38178864335736057,0.01114531032131348
P1,RAW_SIGNAL_281_MINUS_C1_ENCODER_EMBEDDING,PRIMARY,42,0.5396825396825397,0.7928469938700117,-0.253164454187472,
P1,RAW_SIGNAL_281_MINUS_C1_ENCODER_EMBEDDING,PRIMARY,43,0.5333587980646805,0.9035640572018281,-0.37020525913714764,
P1,RAW_SIGNAL_281_MINUS_C1_ENCODER_EMBEDDING,PRIMARY,44,0.5070537305831423,0.6646358543417366,-0.15758212375859426,
P1,RAW_SIGNAL_281_MINUS_C1_ENCODER_EMBEDDING,PRIMARY,45,0.49383694744106643,0.7121648659463785,-0.21832791850531208,
P1,RAW_SIGNAL_281_MINUS_C1_ENCODER_EMBEDDING,PRIMARY,46,0.5220551378446115,0.7427637721755369,-0.22070863433092536,
P1,RAW_SIGNAL_281_MINUS_C1_ENCODER_EMBEDDING,PRIMARY,MEAN,0.5191974307232081,0.7631951087070983,-0.24399767798389024,0.004936269488909086
P1,RAW_SIGNAL_281_MINUS_FIRST_DIFFERENCE_280,SECONDARY_DIAGNOSTIC,42,0.5396825396825397,0.3391001312805824,0.20058240840195724,
P1,RAW_SIGNAL_281_MINUS_FIRST_DIFFERENCE_280,SECONDARY_DIAGNOSTIC,43,0.5333587980646805,0.3569592430273545,0.17639955503732596,
P1,RAW_SIGNAL_281_MINUS_FIRST_DIFFERENCE_280,SECONDARY_DIAGNOSTIC,44,0.5070537305831423,0.37535000504925314,0.13170372553388915,
P1,RAW_SIGNAL_281_MINUS_FIRST_DIFFERENCE_280,SECONDARY_DIAGNOSTIC,45,0.49383694744106643,0.4495241600504758,0.044312787390590636,
P1,RAW_SIGNAL_281_MINUS_FIRST_DIFFERENCE_280,SECONDARY_DIAGNOSTIC,46,0.5220551378446115,0.38609878734102326,0.13595635050358829,
P1,RAW_SIGNAL_281_MINUS_FIRST_DIFFERENCE_280,SECONDARY_DIAGNOSTIC,MEAN,0.5191974307232081,0.3814064653497378,0.13779096537347027,0.0028423957146032014
P2,C1_ENCODER_EMBEDDING_MINUS_FIRST_DIFFERENCE_280,PRIMARY,42,0.8256944883216445,0.297993672993673,0.5277008153279714,
P2,C1_ENCODER_EMBEDDING_MINUS_FIRST_DIFFERENCE_280,PRIMARY,43,0.8525676937441642,0.25894924724973983,0.5936184464944243,
P2,C1_ENCODER_EMBEDDING_MINUS_FIRST_DIFFERENCE_280,PRIMARY,44,0.7264683211888182,0.15135327635327636,0.5751150448355419,
P2,C1_ENCODER_EMBEDDING_MINUS_FIRST_DIFFERENCE_280,PRIMARY,45,0.7624776226279986,0.24739962970834267,0.5150779929196558,
P2,C1_ENCODER_EMBEDDING_MINUS_FIRST_DIFFERENCE_280,PRIMARY,46,0.6444953739071387,0.28501657073085646,0.3594788031762823,
P2,C1_ENCODER_EMBEDDING_MINUS_FIRST_DIFFERENCE_280,PRIMARY,MEAN,0.7623406999579528,0.24814247940717768,0.5141982205507751,0.006827924789544433
P2,RAW_SIGNAL_281_MINUS_C1_ENCODER_EMBEDDING,PRIMARY,42,0.24800090976561567,0.8256944883216445,-0.5776935785560289,
P2,RAW_SIGNAL_281_MINUS_C1_ENCODER_EMBEDDING,PRIMARY,43,0.27820037105751394,0.8525676937441642,-0.5743673226866503,
P2,RAW_SIGNAL_281_MINUS_C1_ENCODER_EMBEDDING,PRIMARY,44,0.36307505647300037,0.7264683211888182,-0.36339326471581784,
P2,RAW_SIGNAL_281_MINUS_C1_ENCODER_EMBEDDING,PRIMARY,45,0.24766416933599597,0.7624776226279986,-0.5148134532920026,
P2,RAW_SIGNAL_281_MINUS_C1_ENCODER_EMBEDDING,PRIMARY,46,0.23165582022282596,0.6444953739071387,-0.4128395536843128,
P2,RAW_SIGNAL_281_MINUS_C1_ENCODER_EMBEDDING,PRIMARY,MEAN,0.2737192653709904,0.7623406999579528,-0.4886214345869625,0.007479442800703015
P2,RAW_SIGNAL_281_MINUS_FIRST_DIFFERENCE_280,SECONDARY_DIAGNOSTIC,42,0.24800090976561567,0.297993672993673,-0.049992763228057346,
P2,RAW_SIGNAL_281_MINUS_FIRST_DIFFERENCE_280,SECONDARY_DIAGNOSTIC,43,0.27820037105751394,0.25894924724973983,0.019251123807774106,
P2,RAW_SIGNAL_281_MINUS_FIRST_DIFFERENCE_280,SECONDARY_DIAGNOSTIC,44,0.36307505647300037,0.15135327635327636,0.211721780119724,
P2,RAW_SIGNAL_281_MINUS_FIRST_DIFFERENCE_280,SECONDARY_DIAGNOSTIC,45,0.24766416933599597,0.24739962970834267,0.0002645396276532985,
P2,RAW_SIGNAL_281_MINUS_FIRST_DIFFERENCE_280,SECONDARY_DIAGNOSTIC,46,0.23165582022282596,0.28501657073085646,-0.05336075050803049,
P2,RAW_SIGNAL_281_MINUS_FIRST_DIFFERENCE_280,SECONDARY_DIAGNOSTIC,MEAN,0.2737192653709904,0.24814247940717768,0.025576785963812715,0.009454514818981009
P3,C1_ENCODER_EMBEDDING_MINUS_FIRST_DIFFERENCE_280,PRIMARY,42,0.9840778416629811,0.33183483183483187,0.6522430098281492,
P3,C1_ENCODER_EMBEDDING_MINUS_FIRST_DIFFERENCE_280,PRIMARY,43,0.9840778416629811,0.29253839466821213,0.6915394469947689,
P3,C1_ENCODER_EMBEDDING_MINUS_FIRST_DIFFERENCE_280,PRIMARY,44,0.8865705931495407,0.4183389906078982,0.4682316025416425,
P3,C1_ENCODER_EMBEDDING_MINUS_FIRST_DIFFERENCE_280,PRIMARY,45,0.8603628225919248,0.3621758848466922,0.49818693774523254,
P3,C1_ENCODER_EMBEDDING_MINUS_FIRST_DIFFERENCE_280,PRIMARY,46,0.8322700065181268,0.37556351694282725,0.4567064895752995,
P3,C1_ENCODER_EMBEDDING_MINUS_FIRST_DIFFERENCE_280,PRIMARY,MEAN,0.9094718211171109,0.35609032378009237,0.5533814973370185,0.009700843764718144
P3,RAW_SIGNAL_281_MINUS_C1_ENCODER_EMBEDDING,PRIMARY,42,0.5133523903979454,0.9840778416629811,-0.4707254512650356,
P3,RAW_SIGNAL_281_MINUS_C1_ENCODER_EMBEDDING,PRIMARY,43,0.5244231025743631,0.9840778416629811,-0.459654739088618,
P3,RAW_SIGNAL_281_MINUS_C1_ENCODER_EMBEDDING,PRIMARY,44,0.5719563745230534,0.8865705931495407,-0.3146142186264873,
P3,RAW_SIGNAL_281_MINUS_C1_ENCODER_EMBEDDING,PRIMARY,45,0.5552724301596481,0.8603628225919248,-0.30509039243227665,
P3,RAW_SIGNAL_281_MINUS_C1_ENCODER_EMBEDDING,PRIMARY,46,0.5164332399626517,0.8322700065181268,-0.3158367665554751,
P3,RAW_SIGNAL_281_MINUS_C1_ENCODER_EMBEDDING,PRIMARY,MEAN,0.5362875075235324,0.9094718211171109,-0.37318431359357856,0.005669477459679697
P3,RAW_SIGNAL_281_MINUS_FIRST_DIFFERENCE_280,SECONDARY_DIAGNOSTIC,42,0.5133523903979454,0.33183483183483187,0.18151755856311358,
P3,RAW_SIGNAL_281_MINUS_FIRST_DIFFERENCE_280,SECONDARY_DIAGNOSTIC,43,0.5244231025743631,0.29253839466821213,0.23188470790615096,
P3,RAW_SIGNAL_281_MINUS_FIRST_DIFFERENCE_280,SECONDARY_DIAGNOSTIC,44,0.5719563745230534,0.4183389906078982,0.15361738391515517,
P3,RAW_SIGNAL_281_MINUS_FIRST_DIFFERENCE_280,SECONDARY_DIAGNOSTIC,45,0.5552724301596481,0.3621758848466922,0.1930965453129559,
P3,RAW_SIGNAL_281_MINUS_FIRST_DIFFERENCE_280,SECONDARY_DIAGNOSTIC,46,0.5164332399626517,0.37556351694282725,0.14086972301982442,
P3,RAW_SIGNAL_281_MINUS_FIRST_DIFFERENCE_280,SECONDARY_DIAGNOSTIC,MEAN,0.5362875075235324,0.35609032378009237,0.18019718374344001,0.0010185743997031152
P4,C1_ENCODER_EMBEDDING_MINUS_FIRST_DIFFERENCE_280,PRIMARY,42,0.15812875874987675,0.28647732777321455,-0.1283485690233378,
P4,C1_ENCODER_EMBEDDING_MINUS_FIRST_DIFFERENCE_280,PRIMARY,43,0.09478107032286598,0.2710306610682551,-0.1762495907453891,
P4,C1_ENCODER_EMBEDDING_MINUS_FIRST_DIFFERENCE_280,PRIMARY,44,0.18016145436053901,0.1484126984126984,0.0317487559478406,
P4,C1_ENCODER_EMBEDDING_MINUS_FIRST_DIFFERENCE_280,PRIMARY,45,0.17993906181847263,0.2289050617997986,-0.048965999981325975,
P4,C1_ENCODER_EMBEDDING_MINUS_FIRST_DIFFERENCE_280,PRIMARY,46,0.12287248232626384,0.24457629205528367,-0.12170380972901983,
P4,C1_ENCODER_EMBEDDING_MINUS_FIRST_DIFFERENCE_280,PRIMARY,MEAN,0.14717656551560362,0.23588040822185005,-0.08870384270624643,0.005282576962989468
P4,RAW_SIGNAL_281_MINUS_C1_ENCODER_EMBEDDING,PRIMARY,42,0.26946397288012197,0.15812875874987675,0.11133521413024522,
P4,RAW_SIGNAL_281_MINUS_C1_ENCODER_EMBEDDING,PRIMARY,43,0.25186200962598476,0.09478107032286598,0.15708093930311878,
P4,RAW_SIGNAL_281_MINUS_C1_ENCODER_EMBEDDING,PRIMARY,44,0.25973728788374095,0.18016145436053901,0.07957583352320194,
P4,RAW_SIGNAL_281_MINUS_C1_ENCODER_EMBEDDING,PRIMARY,45,0.23399749373433582,0.17993906181847263,0.05405843191586318,
P4,RAW_SIGNAL_281_MINUS_C1_ENCODER_EMBEDDING,PRIMARY,46,0.19850222017404678,0.12287248232626384,0.07562973784778294,
P4,RAW_SIGNAL_281_MINUS_C1_ENCODER_EMBEDDING,PRIMARY,MEAN,0.24271259685964605,0.14717656551560362,0.09553603134404241,0.001281753912393421
P4,RAW_SIGNAL_281_MINUS_FIRST_DIFFERENCE_280,SECONDARY_DIAGNOSTIC,42,0.26946397288012197,0.28647732777321455,-0.01701335489309258,
P4,RAW_SIGNAL_281_MINUS_FIRST_DIFFERENCE_280,SECONDARY_DIAGNOSTIC,43,0.25186200962598476,0.2710306610682551,-0.019168651442270312,
P4,RAW_SIGNAL_281_MINUS_FIRST_DIFFERENCE_280,SECONDARY_DIAGNOSTIC,44,0.25973728788374095,0.1484126984126984,0.11132458947104254,
P4,RAW_SIGNAL_281_MINUS_FIRST_DIFFERENCE_280,SECONDARY_DIAGNOSTIC,45,0.23399749373433582,0.2289050617997986,0.005092431934537206,
P4,RAW_SIGNAL_281_MINUS_FIRST_DIFFERENCE_280,SECONDARY_DIAGNOSTIC,46,0.19850222017404678,0.24457629205528367,-0.04607407188123688,
P4,RAW_SIGNAL_281_MINUS_FIRST_DIFFERENCE_280,SECONDARY_DIAGNOSTIC,MEAN,0.24271259685964605,0.23588040822185005,0.006832188637795994,0.0029930829237085716
