representation,probe_seed,p1_block_accuracy,p2_block_accuracy,p3_block_accuracy,p4_block_accuracy,angle_associated_accuracy_contrast,ci_low,ci_high,interpretation_language,bootstrap_replicates
RAW_SIGNAL_281,42,0.5396825396825397,0.2698412698412698,0.5238095238095238,0.2857142857142857,-0.25396825396825395,,,angle-associated; noncausal,
RAW_SIGNAL_281,43,0.5238095238095238,0.2857142857142857,0.5396825396825397,0.2698412698412698,-0.25396825396825395,,,angle-associated; noncausal,
RAW_SIGNAL_281,44,0.5079365079365079,0.36507936507936506,0.5873015873015873,0.2857142857142857,-0.22222222222222224,,,angle-associated; noncausal,
RAW_SIGNAL_281,45,0.49206349206349204,0.25396825396825395,0.5714285714285714,0.23809523809523808,-0.2857142857142857,,,angle-associated; noncausal,
RAW_SIGNAL_281,46,0.5079365079365079,0.23809523809523808,0.5238095238095238,0.20634920634920634,-0.29365079365079366,,,angle-associated; noncausal,
RAW_SIGNAL_281,MEAN,0.5142857142857142,0.28253968253968254,0.5492063492063493,0.2571428571428571,-0.2619047619047619,-0.35873015873015873,-0.16190476190476194,angle-associated; noncausal,10000
FIRST_DIFFERENCE_280,42,0.3492063492063492,0.30158730158730157,0.3492063492063492,0.31746031746031744,-0.03968253968253968,,,angle-associated; noncausal,
FIRST_DIFFERENCE_280,43,0.36507936507936506,0.2698412698412698,0.30158730158730157,0.2857142857142857,-0.05555555555555555,,,angle-associated; noncausal,
FIRST_DIFFERENCE_280,44,0.3968253968253968,0.19047619047619047,0.42857142857142855,0.15873015873015872,-0.23809523809523808,,,angle-associated; noncausal,
FIRST_DIFFERENCE_280,45,0.47619047619047616,0.2698412698412698,0.38095238095238093,0.23809523809523808,-0.1746031746031746,,,angle-associated; noncausal,
FIRST_DIFFERENCE_280,46,0.4126984126984127,0.30158730158730157,0.3968253968253968,0.2698412698412698,-0.11904761904761904,,,angle-associated; noncausal,
FIRST_DIFFERENCE_280,MEAN,0.3999999999999999,0.26666666666666666,0.3714285714285714,0.25396825396825395,-0.1253968253968254,-0.19523809523809524,-0.053968253968254,angle-associated; noncausal,10000
C1_ENCODER_EMBEDDING,42,0.7936507936507936,0.8253968253968254,0.9841269841269841,0.1746031746031746,-0.3888888888888889,,,angle-associated; noncausal,
C1_ENCODER_EMBEDDING,43,0.9047619047619048,0.8571428571428571,0.9841269841269841,0.09523809523809523,-0.46825396825396826,,,angle-associated; noncausal,
C1_ENCODER_EMBEDDING,44,0.6666666666666666,0.7301587301587301,0.8888888888888888,0.19047619047619047,-0.31746031746031744,,,angle-associated; noncausal,
C1_ENCODER_EMBEDDING,45,0.7142857142857143,0.7777777777777778,0.873015873015873,0.1746031746031746,-0.31746031746031744,,,angle-associated; noncausal,
C1_ENCODER_EMBEDDING,46,0.746031746031746,0.6666666666666666,0.8412698412698413,0.12698412698412698,-0.39682539682539686,,,angle-associated; noncausal,
C1_ENCODER_EMBEDDING,MEAN,0.7650793650793651,0.7714285714285714,0.9142857142857143,0.15238095238095237,-0.37777777777777777,-0.43809523809523815,-0.31587301587301586,angle-associated; noncausal,10000
