position,scheme,target_type,target,metric,replicates,estimate,ci_low,ci_high,note
P1,tagid_stratified_block_only,representation,RAW_SIGNAL_281,block_macro_f1,10000,0.5128380575227397,0.412752388539628,0.6122117212573955,
P1,tagid_stratified_block_only,representation,RAW_SIGNAL_281,block_accuracy,10000,0.5140409523809524,0.4126984126984127,0.6158730158730158,
P1,tagid_stratified_block_only,representation,FIRST_DIFFERENCE_280,block_macro_f1,10000,0.37587669858602835,0.29627146358956974,0.459513261566733,
P1,tagid_stratified_block_only,representation,FIRST_DIFFERENCE_280,block_accuracy,10000,0.39939619047619046,0.32063492063492066,0.4793650793650793,
P1,tagid_stratified_block_only,representation,C1_ENCODER_EMBEDDING,block_macro_f1,10000,0.7600264271885235,0.6858625698771292,0.8280284775084709,
P1,tagid_stratified_block_only,representation,C1_ENCODER_EMBEDDING,block_accuracy,10000,0.7648190476190475,0.6952380952380952,0.8317460317460317,
P1,tagid_stratified_block_only,representation_contrast,C1_ENCODER_EMBEDDING_MINUS_FIRST_DIFFERENCE_280,block_macro_f1_difference,10000,0.3841497286024952,0.26875478442699763,0.49252002925662125,
P1,tagid_stratified_block_only,representation_contrast,RAW_SIGNAL_281_MINUS_C1_ENCODER_EMBEDDING,block_macro_f1_difference,10000,-0.24718836966578386,-0.3708667609517656,-0.12012341150128157,
P1,tagid_stratified_block_only,representation_contrast,RAW_SIGNAL_281_MINUS_FIRST_DIFFERENCE_280,block_macro_f1_difference,10000,0.1369613589367113,0.04292804509735071,0.2308813858767313,
P1,block_plus_probe_seed,representation_contrast,C1_ENCODER_EMBEDDING_MINUS_FIRST_DIFFERENCE_280,block_macro_f1_difference,10000,0.38394881317400603,0.2238784456400964,0.5364953589653579,C1 probe and checkpoint seeds are preregistered as aligned and cannot be independently identified
P1,block_plus_probe_seed,representation_contrast,RAW_SIGNAL_281_MINUS_C1_ENCODER_EMBEDDING,block_macro_f1_difference,10000,-0.24718063487014225,-0.3911113564921042,-0.09705874557981166,C1 probe and checkpoint seeds are preregistered as aligned and cannot be independently identified
