position,representation,readout,checkpoint_seed,instance,row_accuracy,row_macro_f1,block_accuracy,block_macro_f1,confusion_matrix,oof_prediction_sha256,fold_prediction_hash_bundle_sha256,training_scaler_hash_bundle_sha256,label_boundary_hash_bundle_sha256,status
P1,RAW_SIGNAL_281,COSINE_NCM,,deterministic,0.5714285714285714,0.5735336558865971,0.5714285714285714,0.5735336558865971,"[[5,1,1,0,2,0,0],[1,6,1,0,0,0,1],[0,2,6,0,0,0,1],[0,2,1,5,1,0,0],[3,0,1,0,5,0,0],[0,1,0,1,0,5,2],[0,1,1,0,0,3,4]]",939dd3a2a355cfd41b3daf5df626994ca1aeb65edfbe1a4e8a7123f0352ce403,9c86dbd7bff7df72949c3fb8e5ea4611f217ec834ada88fb2edacda0741fa2f0,9305d5798ca2dfd41e56d7a8ab96a86d99b8eb66d9a766e428197c125143d523,940b5666b7c0828d18df6169abd1ec4ea7c62ed5dc9252e8e16dcef958584ba7,COMPLETE
P1,FIRST_DIFFERENCE_280,COSINE_NCM,,deterministic,0.5050793650793651,0.47996078915899293,0.5079365079365079,0.4822549999020587,"[[6,1,1,0,1,0,0],[3,3,3,0,0,0,0],[0,2,6,0,0,1,0],[1,0,1,2,1,2,2],[3,0,0,1,2,1,2],[0,1,0,0,0,7,1],[0,1,0,0,0,2,6]]",160401fa40264ba6738788bca04b840a22237844c4c20424219f431370e76437,218b011f87a9f4acdb061c1fcfffa59ee813846aa3e2825178c0d6b3cfef47e3,838623950a66c73be9b7aa4f2875e2707cc759acafe4771404d693510a923fc6,940b5666b7c0828d18df6169abd1ec4ea7c62ed5dc9252e8e16dcef958584ba7,COMPLETE
P1,C1_ENCODER_EMBEDDING,COSINE_NCM,42,checkpoint_42,0.8790476190476191,0.8774423465517341,0.8888888888888888,0.8872150614631817,"[[9,0,0,0,0,0,0],[0,8,1,0,0,0,0],[0,0,9,0,0,0,0],[0,0,0,9,0,0,0],[0,0,0,2,6,0,1],[0,1,0,0,0,7,1],[0,0,0,1,0,0,8]]",1b82e0d1cbcfd4762499a111a654901088956803b51effcca7f214ec3d97e091,e226242d11473d54c5957f6d5aa0eb28dcfd66f5edd223f61e29cb84d5fa3dff,7d69a2d761d99709fed488d5268d628b88d0c55ad40cd452e411b77366567c67,940b5666b7c0828d18df6169abd1ec4ea7c62ed5dc9252e8e16dcef958584ba7,COMPLETE
P1,C1_ENCODER_EMBEDDING,COSINE_NCM,43,checkpoint_43,0.8926984126984127,0.8896593449839758,0.9047619047619048,0.901608187134503,"[[9,0,0,0,0,0,0],[0,8,1,0,0,0,0],[0,0,9,0,0,0,0],[0,0,0,9,0,0,0],[0,0,0,2,6,0,1],[0,1,0,0,0,7,1],[0,0,0,0,0,0,9]]",769f455b915ab501abe3513eb20fd6aa6d826245ec0422992ce723db13079263,2702cc11c100db861eca45ff7c7c9ae76746070423c34cff27d4648c1278f66d,50b5459c705bec4b99389624bf6b9918f350da1161d21255ae55ff6e0f94d907,940b5666b7c0828d18df6169abd1ec4ea7c62ed5dc9252e8e16dcef958584ba7,COMPLETE
P1,C1_ENCODER_EMBEDDING,COSINE_NCM,44,checkpoint_44,0.6558730158730158,0.6532368351770231,0.6507936507936508,0.6475162792389684,"[[5,1,0,1,0,1,1],[0,6,1,1,0,1,0],[1,2,4,0,0,0,2],[1,0,0,8,0,0,0],[0,1,0,2,5,0,1],[0,1,0,0,0,6,2],[0,0,0,1,1,0,7]]",71595ac2a6d664e0084cc32a72467d6399b4f66c7549722b3a5da85d69334f9f,5bf8dc696b94dcc7fc5e85f797793e6f56f6beb40a7aa82ffcc415d5853ad3c7,c30197a334a3e7afc0c33e3ac21667bc6bcc2290f898e855daf68a5aae0b6af9,940b5666b7c0828d18df6169abd1ec4ea7c62ed5dc9252e8e16dcef958584ba7,COMPLETE
P1,C1_ENCODER_EMBEDDING,COSINE_NCM,45,checkpoint_45,0.7752380952380953,0.7737341929643626,0.7777777777777778,0.7763038548752835,"[[8,0,0,0,0,1,0],[0,7,1,1,0,0,0],[0,2,6,0,0,0,1],[1,0,0,8,0,0,0],[0,1,0,2,5,0,1],[0,1,0,0,0,8,0],[0,0,0,1,1,0,7]]",4de5df1bcf4bc82e2466bfb4778950d70c1d28ed7e26740b4537c17f239f04a4,442f76bba377dd9673247ee24eaf523d3ec5b292ca80c65f42b5b58a468130d4,bdf38f7a0cde605d43f65293bde3cb06a1c440e7bdb8f63714384eaf9f140f7f,940b5666b7c0828d18df6169abd1ec4ea7c62ed5dc9252e8e16dcef958584ba7,COMPLETE
P1,C1_ENCODER_EMBEDDING,COSINE_NCM,46,checkpoint_46,0.7882539682539682,0.7874837952570849,0.7936507936507936,0.792962982294367,"[[9,0,0,0,0,0,0],[0,7,1,0,0,0,1],[0,1,6,0,0,0,2],[0,0,0,9,0,0,0],[0,0,1,2,5,0,1],[0,1,0,0,0,6,2],[0,0,0,1,0,0,8]]",04721ead01d442196b9debb2e915ed43578f9b49e8b046c53d03c2681a8cb53f,938a45432024ce6a6790c083b3f5abc1f45ff63f40865e73e88816b3ad376088,423872be7679af30d34db656ec8cd42e1c6adf0f2f516f29531e5da63ff6569a,940b5666b7c0828d18df6169abd1ec4ea7c62ed5dc9252e8e16dcef958584ba7,COMPLETE
P2,RAW_SIGNAL_281,COSINE_NCM,,deterministic,0.2838095238095238,0.2664020528232041,0.2857142857142857,0.2682718701515694,"[[1,1,0,1,3,2,1],[0,5,0,1,2,1,0],[1,1,4,0,1,1,1],[1,0,3,1,1,2,1],[3,1,0,2,2,1,0],[0,0,0,3,0,5,1],[0,2,0,1,3,3,0]]",6fc0f2bdbb5f38d58a893582e1a6e81ec55cf39268119a7a9fe510fa742e52e2,8671b6e3445742e0d6f54da689bdaf0c0f994639d4b3a58988d53ee4c549b004,e30b708b99d3bf963ecd72ff7c14f4c0f7cbfcd1a7c875b2d0efabb5eed91b35,940b5666b7c0828d18df6169abd1ec4ea7c62ed5dc9252e8e16dcef958584ba7,COMPLETE
P2,FIRST_DIFFERENCE_280,COSINE_NCM,,deterministic,0.33206349206349206,0.30341836030154085,0.3333333333333333,0.30437816152101865,"[[4,1,1,0,1,1,1],[1,2,2,0,1,2,1],[0,0,6,1,1,1,0],[3,1,0,0,0,3,2],[2,1,1,1,2,1,1],[0,0,1,1,0,5,2],[1,0,1,0,1,4,2]]",040ae6c8a418b6d6116ea0e05e0bb964f6ebb12275f7082181332e887723e420,98e7ff954cc99212e3901f04fda0dcad234e6aec22fc7f8b073bdce44cfc9051,2d14782ca1d84f04dcb44d866e19d90d25e566552e1936593c359e9d57a2539b,940b5666b7c0828d18df6169abd1ec4ea7c62ed5dc9252e8e16dcef958584ba7,COMPLETE
P2,C1_ENCODER_EMBEDDING,COSINE_NCM,42,checkpoint_42,0.8571428571428571,0.8525609377314401,0.8571428571428571,0.8524137725265544,"[[9,0,0,0,0,0,0],[1,7,1,0,0,0,0],[0,0,9,0,0,0,0],[0,0,0,8,0,1,0],[0,0,1,1,5,0,2],[0,0,0,1,0,8,0],[0,0,1,0,0,0,8]]",c952c9331e1b0b05e25c8287c5bbcf16cdc567e80612037bb6de1bd83501a0df,5d4c321f1a5f143eb301631b69f245f15f6fd0e6b53ddd034339ede1f527a078,397cf64bf784a967d7dcaade6770df00b72cf7ba9419e8d989b5c559c785c54b,940b5666b7c0828d18df6169abd1ec4ea7c62ed5dc9252e8e16dcef958584ba7,COMPLETE
P2,C1_ENCODER_EMBEDDING,COSINE_NCM,43,checkpoint_43,0.8371428571428572,0.8323786988151977,0.8412698412698413,0.8364171984583306,"[[8,0,0,0,0,1,0],[1,7,1,0,0,0,0],[0,0,9,0,0,0,0],[0,0,0,9,0,0,0],[0,0,0,1,5,0,3],[1,0,0,1,0,7,0],[0,0,1,0,0,0,8]]",d33b9a4a8f177b9fda4ee127ff8f057da612cffa1aed27a8445c75f9afae2542,79335acb5a9fa92f925609dc41bd8c02ba70719a4458963031dc9c352f0312e9,8cfafbe4695ddbd70112784edda89aef1ab20eb7b93920437df356b31e417f62,940b5666b7c0828d18df6169abd1ec4ea7c62ed5dc9252e8e16dcef958584ba7,COMPLETE
P2,C1_ENCODER_EMBEDDING,COSINE_NCM,44,checkpoint_44,0.7276190476190476,0.7187573421242476,0.7301587301587301,0.721422013621502,"[[6,1,0,2,0,0,0],[1,5,1,1,0,1,0],[0,0,9,0,0,0,0],[0,0,0,9,0,0,0],[1,0,2,1,4,0,1],[0,0,0,1,0,7,1],[0,0,3,0,0,0,6]]",95047c5f7c89336d17db03166f2ea13e25068fb74a70f03e5ce89e9e930bd632,ce44831b1324ed6c4492fef25b3ab1beef04208ac37c7ccf17b60ac5d5bdf10f,d3472181350a07812f4d487e13c3b7ab90bd2bbb5f7cf617f573523829bef061,940b5666b7c0828d18df6169abd1ec4ea7c62ed5dc9252e8e16dcef958584ba7,COMPLETE
P2,C1_ENCODER_EMBEDDING,COSINE_NCM,45,checkpoint_45,0.7142857142857143,0.7003509259777818,0.7142857142857143,0.6997955162926415,"[[8,0,0,0,0,0,1],[1,5,2,1,0,0,0],[0,0,8,0,0,1,0],[0,0,0,8,0,1,0],[1,1,1,1,3,0,2],[2,0,0,1,0,6,0],[0,0,2,0,0,0,7]]",c67b7070d15fdeff7a2bdc673ca94b0006dcdf600faa8bfc85db7638c4683b9f,8f12e32e381145398801ae7c0ab0906ed58da906f52e869f69d8b60643715a70,aa29587f08002694a95108fc059360c263926efd11ce9c77e4b516ecca0ee9c4,940b5666b7c0828d18df6169abd1ec4ea7c62ed5dc9252e8e16dcef958584ba7,COMPLETE
P2,C1_ENCODER_EMBEDDING,COSINE_NCM,46,checkpoint_46,0.6612698412698412,0.6347064481934517,0.6666666666666666,0.6392358504159746,"[[7,0,0,1,0,1,0],[1,3,2,3,0,0,0],[0,1,7,0,0,0,1],[0,0,0,8,0,1,0],[0,0,3,1,2,0,3],[1,0,0,1,0,7,0],[0,0,1,0,0,0,8]]",9bc2fbe87090074fb228f13c25427aae76b229d9973c85426e9f0e17cc0c0728,2590b96a1016285ab5c0f578f8673f45dcfbf62c83acf3cc63e76e56eac6657b,ad44a4c09fbe350a56ff80bc8b1a4291f42e6fd206b32845c2d3131d5c1ab5b1,940b5666b7c0828d18df6169abd1ec4ea7c62ed5dc9252e8e16dcef958584ba7,COMPLETE
P3,RAW_SIGNAL_281,COSINE_NCM,,deterministic,0.6022222222222222,0.586804556012182,0.6031746031746031,0.5882056650411361,"[[6,0,1,0,2,0,0],[0,6,1,1,1,0,0],[0,1,8,0,0,0,0],[0,1,0,5,1,1,1],[7,0,0,0,1,1,0],[0,1,0,1,0,6,1],[0,0,1,0,0,2,6]]",05c0f9ff51952fa5ced760afdcc4082fef1f1aac9e2959fdb229901176d22ff1,ec623da2f75d64c525ba5470316e4b33a17855baabb28ae623e9f5f8be1131ec,cb9ed1b2f256cc761e6992dad4188046a3598bf1f45881f7fe1b45858cb02cb7,940b5666b7c0828d18df6169abd1ec4ea7c62ed5dc9252e8e16dcef958584ba7,COMPLETE
P3,FIRST_DIFFERENCE_280,COSINE_NCM,,deterministic,0.47619047619047616,0.4701550403499804,0.47619047619047616,0.47047914818101155,"[[6,0,0,0,1,1,1],[1,3,3,0,0,0,2],[2,1,4,0,0,0,2],[2,0,0,3,2,1,1],[5,0,0,0,2,0,2],[0,0,0,0,1,7,1],[0,1,0,0,1,2,5]]",a0139a28e8f796b8e598e27c4a39ed0206dc6c884fa302206e27ea7c4a620441,2e76b237dd87f1d76c6b23701af41d4127fef0d8f15e8a68b2309cf705a0e861,bb02afcc523df4a82b0514b19796f39efa65e9123ef0082b7ba768fee9e9e8d5,940b5666b7c0828d18df6169abd1ec4ea7c62ed5dc9252e8e16dcef958584ba7,COMPLETE
P3,C1_ENCODER_EMBEDDING,COSINE_NCM,42,checkpoint_42,0.9647619047619047,0.9648937081231438,0.9841269841269841,0.9840778416629811,"[[9,0,0,0,0,0,0],[0,9,0,0,0,0,0],[0,0,9,0,0,0,0],[0,0,0,9,0,0,0],[0,0,0,0,9,0,0],[0,0,0,1,0,8,0],[0,0,0,0,0,0,9]]",319a1c2c5d2bfa07bdd7aa31edf186f1177db86e1c86b77ddba65c6f7ce61b95,ece26ead5bd023d165cc36f31855cacb0a7358a7d812a872d077260c1866b7b7,562b21aa7690bebc4799dec9d28586f99f9b8b1f5efb4eb897d1c91b8bd111a7,940b5666b7c0828d18df6169abd1ec4ea7c62ed5dc9252e8e16dcef958584ba7,COMPLETE
P3,C1_ENCODER_EMBEDDING,COSINE_NCM,43,checkpoint_43,0.9796825396825397,0.9796793956904933,1.0,1.0,"[[9,0,0,0,0,0,0],[0,9,0,0,0,0,0],[0,0,9,0,0,0,0],[0,0,0,9,0,0,0],[0,0,0,0,9,0,0],[0,0,0,0,0,9,0],[0,0,0,0,0,0,9]]",6813e69c306128b09c6f0c2140646a6f26d52badbd665f1a7f06fa1d2ace9024,d8fd8f8c3d3fd89a6611933a777c2fa4d2f7556322b12fa9e55dad5139fcec40,184ae17b3505d35c5830a4870848665319badbe6463ce8a8190c057f7e091bda,940b5666b7c0828d18df6169abd1ec4ea7c62ed5dc9252e8e16dcef958584ba7,COMPLETE
P3,C1_ENCODER_EMBEDDING,COSINE_NCM,44,checkpoint_44,0.873015873015873,0.866939615642563,0.8888888888888888,0.8826799140708915,"[[9,0,0,0,0,0,0],[0,5,2,1,0,1,0],[0,0,9,0,0,0,0],[0,0,0,9,0,0,0],[0,0,0,0,7,1,1],[0,0,0,1,0,8,0],[0,0,0,0,0,0,9]]",3633edce4f264957c6dfc059a74444b376cdfc793b273a66b3df4651c3492d9b,472debaacc6e936956b9911eb62db44d9b3ce1648584af47f897e7388e5bb212,d1bcfbde56c25d8e32f81a7bed0230ff8cc391dfaf73850635fa050fd2316578,940b5666b7c0828d18df6169abd1ec4ea7c62ed5dc9252e8e16dcef958584ba7,COMPLETE
