record_type,rule_id,path_classification,path_or_pattern,action,purpose,sha256,notes
denylist,D01,P4_OR_TARGET_SCIENTIFIC_EVIDENCE,p4,REJECT_BEFORE_OPEN,P4 scientific seal,,path token p4
denylist,D02,P4_OR_TARGET_SCIENTIFIC_EVIDENCE,target,REJECT_BEFORE_OPEN,P4 scientific seal,,path token target
denylist,D03,P4_OR_TARGET_SCIENTIFIC_EVIDENCE,matched_target | matched-target,REJECT_BEFORE_OPEN,P4 scientific seal,,matched-target evidence
denylist,D04,P4_OR_TARGET_SCIENTIFIC_EVIDENCE,target_evaluation | target-evaluation,REJECT_BEFORE_OPEN,P4 scientific seal,,target evaluation
denylist,D05,P4_OR_TARGET_SCIENTIFIC_EVIDENCE,strict_dg_final_results,REJECT_BEFORE_OPEN,P4 scientific seal,,mixed final strict-DG result package
denylist,D06,P4_OR_TARGET_SCIENTIFIC_EVIDENCE,final_p4 | final-p4,REJECT_BEFORE_OPEN,P4 scientific seal,,final P4 result
denylist,D07,P4_OR_TARGET_SCIENTIFIC_EVIDENCE,few_shot | few-shot,REJECT_BEFORE_OPEN,P4 scientific seal,,Few-Shot patch or evidence
denylist,D08,P4_OR_TARGET_SCIENTIFIC_EVIDENCE,openems,REJECT_BEFORE_OPEN,P4 scientific seal,,OpenEMS evidence
denylist,D09,P4_OR_TARGET_SCIENTIFIC_EVIDENCE,.zip,REJECT_BEFORE_OPEN,P4 scientific seal,,archive/ZIP input
integrity_scan,INTEGRITY_ONLY,FULL_AUTHORITY_TREE_BYTES_NOT_PARSED,archive::*,HASHED_NOT_PARSED,pre/post full filesystem preservation fingerprint,0cecf30ad427dcc9b916720ac53ba877ddc8db9b42f24d2b055cc071621312e0,P4 bytes included only as opaque integrity input; no scientific content parsed
integrity_scan,INTEGRITY_ONLY,FULL_AUTHORITY_TREE_BYTES_NOT_PARSED,canonical::*,HASHED_NOT_PARSED,pre/post full filesystem preservation fingerprint,aeff5fe07e9c761e3c0f1881561329e755c7dc49a8a837151d907cecc2653a1a,no scientific content parsed
access,ALLOW_SOURCE_ONLY,SOURCE_ONLY,archive::configs/strict_dg/canonical.yaml,HASHED_NOT_PARSED,frozen scientific input identity,2338bbe1f7ec501546512d286b3d2b3d3067f9f8e458a547e2a237c15a1b835e,integrity or lineage identity only
access,ALLOW_SOURCE_ONLY,SOURCE_ONLY,archive::src/crfid/strict_runtime/phase3b_execution.py,HASHED_NOT_PARSED,frozen scientific input identity,ddc65b7fa4bb8287140cd2837f7a392df968f9dcabd0dfabc5df3b479cf9b010,integrity or lineage identity only
