candidate_id,held_source_position,fold_id,seed,candidate_training_output,source_validation_output,held_source_position_output,diagnostic_only_artifact,candidate_selection_input_events,final_selection_output_event,accuracy,macro_f1,validation_macro_f1,selected_inner_epoch,checkpoint_binding_status,checkpoint_file_sha256,model_state_sha256,prediction_sha256,metric_replay_match
C0_NEUTRAL_ERM_1DCNN,P1,S1,42,REUSED_CANONICAL_CONTROL,inner_selected_and_outer_development_metrics_available,independently_recomputed_from_prediction_bundle,per-class recall and condition/unique-weighted components,HOLD_P2+HOLD_P3,HOLD_P1,0.27174603174603174,0.19991499022261908,0.74678427647276158,10,BOUND_PHASE2_OUTER_CHECKPOINT,e30dbf5ab445e7fdf8e0225e61ade491105624ba72333acbe0f93c0e8401af88,2a119c5ca3406d500c06925f94fe5bd2fc105298179b987489d09bf817db2138,009b71f5ddb714112c551fd5b0cbeb24f9ee0710e5ce45fc8839427aed8c2113,True
C0_NEUTRAL_ERM_1DCNN,P1,S1,43,REUSED_CANONICAL_CONTROL,inner_selected_and_outer_development_metrics_available,independently_recomputed_from_prediction_bundle,per-class recall and condition/unique-weighted components,HOLD_P2+HOLD_P3,HOLD_P1,0.15841269841269842,0.069429195416662953,0.74792418956500251,14,BOUND_PHASE2_OUTER_CHECKPOINT,b137a92c6ca24a6623a0fba05d344e6a24472d406b8c62418876efab5ef3464b,0bad83e390d9dd53ffa92146dbc4bf1fc290130b48712c7cbf9f1ce1cff79ff5,97bed5eeecfeeb9fcbcfc69696111a4c9e1574174b6df36051376caaac5b9e40,True
C0_NEUTRAL_ERM_1DCNN,P1,S1,44,REUSED_CANONICAL_CONTROL,inner_selected_and_outer_development_metrics_available,independently_recomputed_from_prediction_bundle,per-class recall and condition/unique-weighted components,HOLD_P2+HOLD_P3,HOLD_P1,0.15873015873015872,0.060939060939060936,0.57719279879558305,8,BOUND_PHASE2_OUTER_CHECKPOINT,990a519844dca6edbffa49d64f4915967646f54ef2cb167f3215073ec36de6dc,93008dc4a7370f724f23ebbeab48437355b85f525f629b8942f0d3807fdccb89,73a60c46b0c38d19e7c6aa97cf407c739364c816ff7c66e3331c7b05e29221c6,True
C0_NEUTRAL_ERM_1DCNN,P1,S1,45,REUSED_CANONICAL_CONTROL,inner_selected_and_outer_development_metrics_available,independently_recomputed_from_prediction_bundle,per-class recall and condition/unique-weighted components,HOLD_P2+HOLD_P3,HOLD_P1,0.25396825396825395,0.15856232668595502,0.60561476767258315,7,BOUND_PHASE2_OUTER_CHECKPOINT,a0012489d9c5fd0277efb862602b13d95fe07a5db656779c2c82ea92055fdfc6,40e758e9176d00cf068432829c8f422d79280df2b2d996aa96f16858d755cca4,7620c0db5db1c6c9b80e9338351f528f259392fcd08648f2c8c3f3a1625f2442,True
C0_NEUTRAL_ERM_1DCNN,P1,S1,46,REUSED_CANONICAL_CONTROL,inner_selected_and_outer_development_metrics_available,independently_recomputed_from_prediction_bundle,per-class recall and condition/unique-weighted components,HOLD_P2+HOLD_P3,HOLD_P1,0.15841269841269842,0.060735875433649923,0.99841339375608673,19,BOUND_PHASE2_OUTER_CHECKPOINT,0d9dbbf463ac2bac7df927366881c36088dd2b5cc2848f1fdb704df8d5df4e03,add0e98d7d05883c3181b1877ab65e181a05b390395eb01f80cf0b697e8bf149,7cf463c0a8ca8c253e3b8f0ea39e7c77687635190f3be23771aea74fe3ad690d,True
C0_NEUTRAL_ERM_1DCNN,P2,S2,42,REUSED_CANONICAL_CONTROL,inner_selected_and_outer_development_metrics_available,independently_recomputed_from_prediction_bundle,per-class recall and condition/unique-weighted components,HOLD_P1+HOLD_P3,HOLD_P2,0.19079365079365079,0.17807807747560706,0.97853996441816249,24,BOUND_PHASE2_OUTER_CHECKPOINT,438f687be12b607ec060ae4e12cde6165ce35b4d27692d3683a6658d98c4f490,04a33a0145523055d37c70a27c7f1314bcce003a12374237938f6547c21496bd,36c5ff25009664b239a8af251b295d691ec165d5cb064684cf0c3ddb5acf58ff,True
C0_NEUTRAL_ERM_1DCNN,P2,S2,43,REUSED_CANONICAL_CONTROL,inner_selected_and_outer_development_metrics_available,independently_recomputed_from_prediction_bundle,per-class recall and condition/unique-weighted components,HOLD_P1+HOLD_P3,HOLD_P2,0.20634920634920634,0.1643484849602328,0.74250134696706471,9,BOUND_PHASE2_OUTER_CHECKPOINT,e4f37ac4365ab67cefe007e234a1e76ab3857e8c13138f01ca897777498c138b,0f80d980d5a109deefcdc10651dc5ade73449e62cd87765c4b3ad8dd4a835d82,fb116f159d805f51013c581f16609b9056b57e71015d14a0acb71616704eba17,True
C0_NEUTRAL_ERM_1DCNN,P2,S2,44,REUSED_CANONICAL_CONTROL,inner_selected_and_outer_development_metrics_available,independently_recomputed_from_prediction_bundle,per-class recall and condition/unique-weighted components,HOLD_P1+HOLD_P3,HOLD_P2,0.23841269841269841,0.20502123828246063,0.97271712049193959,23,BOUND_PHASE2_OUTER_CHECKPOINT,182880e8e95cae8c461130d2bc24828704aa8bc3a617a798bc1061018c28911a,8f613a3702f20888af57e0d99b4aa6f94fa1495eea3352d73d7788ed7941027b,f50a1b596a2c62d1e7302b1b217fadeeb4ee1f5e8534b6c12bb43b1134254f6e,True
C0_NEUTRAL_ERM_1DCNN,P2,S2,45,REUSED_CANONICAL_CONTROL,inner_selected_and_outer_development_metrics_available,independently_recomputed_from_prediction_bundle,per-class recall and condition/unique-weighted components,HOLD_P1+HOLD_P3,HOLD_P2,0.14222222222222222,0.13049948119154053,0.78489674023173706,11,BOUND_PHASE2_OUTER_CHECKPOINT,8aa9d7aecfbd6274153fd7a947ae7ad604bf673bdba36a2b3b52f2dc840ca1e6,e2bcd6c62f5372ed00e29f07a81dca7ebd417301fddf54c9fe5b489d61ec6854,606da82827d53c5c5a60ef241d09b518a9d6c5eefd5c82d41ec568c91f7e5df3,True
C0_NEUTRAL_ERM_1DCNN,P2,S2,46,REUSED_CANONICAL_CONTROL,inner_selected_and_outer_development_metrics_available,independently_recomputed_from_prediction_bundle,per-class recall and condition/unique-weighted components,HOLD_P1+HOLD_P3,HOLD_P2,0.20666666666666667,0.17050962638950887,0.94080316792035712,18,BOUND_PHASE2_OUTER_CHECKPOINT,30ddb222a1bd44e344e5abf44f979a7386ce7f8b4fe152fae66d9ab5f030643a,2c2d056bcbc6a11e702ed0b9c1d65bdd14edb4670213ba13d9369dd96d2d724e,51277f9b6f0e54bb4358dc25a1c3eaae13cc1241349005b1ea3d5a6c535cb4dc,True
