event_id,held_position,candidate_id,selector_rank,held_rank,rank_difference_selector_minus_held,exact_rank_match
HOLD_P1,P1,C0_NEUTRAL_ERM_1DCNN,3,3,0,True
HOLD_P1,P1,C1_FIRST_DIFFERENCE_ERM_1DCNN,1,1,0,True
HOLD_P1,P1,C2_SOURCE_EUCLIDEAN_NCM_READOUT,2,2,0,True
HOLD_P1,P1,C3_SOURCE_CORAL_ERM_1DCNN,4,4,0,True
HOLD_P2,P2,C0_NEUTRAL_ERM_1DCNN,3,2,1,False
HOLD_P2,P2,C1_FIRST_DIFFERENCE_ERM_1DCNN,1,4,-3,False
HOLD_P2,P2,C2_SOURCE_EUCLIDEAN_NCM_READOUT,2,3,-1,False
HOLD_P2,P2,C3_SOURCE_CORAL_ERM_1DCNN,4,1,3,False
HOLD_P3,P3,C0_NEUTRAL_ERM_1DCNN,3,3,0,True
HOLD_P3,P3,C1_FIRST_DIFFERENCE_ERM_1DCNN,1,1,0,True
HOLD_P3,P3,C2_SOURCE_EUCLIDEAN_NCM_READOUT,2,2,0,True
HOLD_P3,P3,C3_SOURCE_CORAL_ERM_1DCNN,4,4,0,True
